batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias
1,1,1,4131,2359,1,1,1,0
1,1,1,8224,4519,3,1,1,1
1,1,1,9212,3975,2,0,1,1
1,1,2,7411,1339,4,1,0,1
1,1,2,7859,6676,3,1,0,0
1,2,2,2597,4726,4,0,1,0
1,2,2,4856,3929,4,1,0,0
1,3,4,820,966,2,0,1,1
1,4,2,1258,1342,1,0,0,0
1,5,2,116,787,1,0,1,1
1,5,6,1832,743,2,0,0,0
1,6,1,101,127,4,1,1,1
1,6,1,545,1387,1,1,0,1
1,6,2,974,33,3,1,0,0
1,6,3,816,1523,2,1,1,0
1,6,5,100,996,3,0,1,1
1,6,5,641,827,4,1,1,1
1,6,5,1280,1450,4,1,0,1
1,6,5,1335,371,4,0,0,0
1,8,3,1155,988,2,1,0,0
1,9,3,1032,431,4,0,0,0
1,9,8,854,940,4,1,0,1
1,9,9,927,741,4,0,1,1
1,10,10,600,170,1,1,1,0
1,11,5,555,716,3,1,0,1
1,12,9,449,645,3,1,1,1
1,13,4,641,563,1,1,1,0
1,13,10,8,768,4,1,0,0
1,13,10,194,631,2,1,1,0
1,14,1,407,216,1,1,1,0
1,14,8,467,166,2,0,1,0
1,14,12,79,361,4,0,1,0
1,15,2,364,44,2,1,0,1
1,15,10,411,106,2,1,0,0
1,15,10,511,581,2,0,1,1
1,16,4,421,347,4,1,1,0
1,16,8,247,349,3,1,1,1
1,17,3,463,378,1,1,0,1
1,17,4,564,152,2,0,1,0
1,17,7,291,370,2,0,0,0
1,17,8,216,229,2,1,0,0
1,17,10,206,386,2,0,1,1
1,17,11,399,586,1,1,0,0
1,17,12,499,49,1,0,1,1
1,18,7,298,372,1,1,1,1
1,18,8,151,185,2,0,1,1
1,18,8,288,448,1,1,0,0
1,19,4,512,98,4,1,0,0
1,19,9,225,33,3,0,0,0
1,20,9,103,41,1,1,0,1
1,20,11,23,19,3,1,1,1
1,21,3,230,450,4,0,1,0
1,21,4,420,353,4,1,1,1
1,21,6,305,91,4,0,0,1
1,21,12,324,148,3,0,0,1
1,22,3,404,21,4,1,1,1
1,22,4,352,278,2,0,1,1
1,22,11,325,405,4,0,0,0
1,23,10,298,165,2,1,0,1
1,23,12,200,218,3,0,1,1
1,24,5,303,349,4,1,0,1
1,25,3,307,12,4,0,0,0
1,25,10,393,245,1,0,0,0
1,26,4,125,19,2,1,1,1
1,26,9,80,374,4,1,1,0
1,27,3,182,138,4,0,0,1
1,27,9,129,245,4,1,1,1
1,27,11,164,65,2,1,1,1
1,28,3,127,130,1,0,1,0
1,28,5,45,155,2,0,1,0
1,28,5,48,303,4,1,1,0
1,28,7,293,142,4,1,1,0
1,28,12,65,208,3,1,0,1
1,29,5,236,159,2,0,1,1
1,29,10,129,180,4,0,1,1
1,30,6,163,273,3,0,1,1
1,30,10,298,287,3,1,0,1
1,31,3,107,179,3,1,1,1
1,32,4,190,201,2,0,1,1
1,33,2,166,11,2,0,1,1
1,33,3,31,57,4,0,1,0
1,33,10,215,213,2,0,0,0
1,34,1,198,148,2,0,1,1
1,34,1,232,201,1,0,1,1
1,34,3,57,204,1,1,0,1
1,35,2,53,31,3,0,1,0
1,35,9,216,76,1,0,1,1
1,36,1,229,31,3,0,0,0
1,36,6,147,69,2,1,0,0
1,36,10,124,268,2,1,1,1
1,37,5,212,108,4,1,0,1
1,37,8,80,48,1,0,1,0
1,38,2,72,262,3,1,0,1
1,38,3,152,219,4,0,1,0
1,38,4,224,262,2,1,1,1
1,38,7,84,43,1,1,0,1
1,38,11,71,16,2,0,1,1
1,39,2,146,167,2,1,1,1
1,39,8,90,116,2,1,0,1
1,39,11,236,200,4,1,0,0
1,40,1,63,215,3,1,1,0
1,40,7,72,125,2,0,1,0
1,40,10,156,11,3,0,1,1
1,40,12,74,107,4,0,1,1
1,41,4,42,130,3,1,0,1
1,41,12,71,160,4,1,0,0
1,42,7,82,128,3,0,1,1
1,42,7,191,198,3,1,1,0
1,42,8,128,101,2,0,1,1
1,43,3,2,160,4,1,0,1
1,43,4,117,63,4,1,0,1
1,45,4,35,131,4,0,0,1
1,45,8,157,29,1,0,1,0
1,46,4,109,41,4,1,1,0
1,46,8,12,94,3,1,0,0
1,46,9,81,158,2,1,1,0
1,46,10,57,165,3,1,0,0
1,46,10,165,13,1,1,0,1
1,47,2,89,33,4,0,1,0
1,47,11,72,180,3,1,0,0
1,48,1,98,152,4,0,1,1
1,48,6,124,156,1,0,0,0
1,48,8,113,115,3,0,0,1
1,48,10,28,9,4,0,1,1
1,49,4,27,114,1,0,0,0
1,50,6,55,135,2,0,0,0
1,50,11,79,19,2,0,0,0
1,52,5,104,115,2,1,1,0
1,52,9,162,157,2,1,1,1
1,53,2,21,40,4,0,0,1
1,53,7,4,169,2,1,0,1
1,54,1,170,38,4,0,1,1
1,54,4,177,123,4,1,0,0
1,54,8,25,86,1,0,0,1
1,54,11,68,179,1,0,1,0
1,54,11,150,14,1,1,0,0
1,54,12,25,10,2,1,0,0
1,55,1,160,34,1,0,1,1
1,55,2,27,166,3,0,1,0
1,55,2,179,86,3,1,1,1
1,55,10,77,7,1,0,1,1
1,56,3,49,24,1,1,1,0
1,56,3,56,170,1,0,0,0
1,57,3,47,83,4,0,1,0
1,57,4,138,22,3,1,1,1
1,57,6,68,84,1,1,1,1
1,57,7,126,156,4,0,1,1
1,58,3,65,139,1,0,1,0
1,58,9,55,145,2,0,0,0
1,58,11,87,61,1,0,0,0
1,58,11,113,96,4,0,0,0
1,59,3,40,11,2,1,1,0
1,59,10,167,161,1,0,1,0
1,60,3,153,65,2,0,1,0
1,60,5,19,149,4,1,0,0
1,62,5,22,73,3,0,0,0
1,62,11,134,72,3,0,1,0
1,63,1,48,128,1,1,0,1
1,63,3,108,37,3,0,0,1
1,64,1,146,48,2,0,0,0
1,64,3,150,138,3,1,0,1
1,64,4,68,131,4,1,0,1
1,64,5,150,112,2,0,1,0
1,64,9,82,101,3,0,1,1
1,64,10,15,47,3,0,0,1
1,64,10,21,132,1,1,0,1
1,64,10,27,119,2,0,0,1
1,65,2,114,86,2,0,1,0
1,65,10,104,34,1,0,0,1
1,66,4,141,36,4,0,0,0
1,67,1,124,53,2,0,0,0
1,67,2,103,45,2,0,1,1
1,67,3,103,137,1,0,1,1
1,68,2,52,97,3,0,1,0
1,68,6,132,120,1,1,0,0
1,69,4,71,80,3,1,1,0
1,69,4,100,119,1,1,0,0
1,69,4,137,137,3,0,0,1
1,70,1,107,100,3,0,1,1
1,70,8,32,38,1,1,0,0
1,70,8,54,72,4,1,0,0
1,71,5,66,140,3,1,1,0
1,71,6,134,25,2,1,1,0
1,71,8,7,67,1,0,1,1
1,71,11,109,43,1,1,0,0
1,71,12,64,65,4,0,0,1
1,72,6,10,93,4,1,1,0
1,72,6,74,70,2,1,1,0
1,72,8,92,130,2,1,0,1
1,73,1,50,131,4,1,1,1
1,73,8,14,50,2,0,0,1
1,73,9,69,133,4,0,1,0
1,73,11,135,62,2,1,0,0
1,75,5,47,125,4,0,1,0
1,75,7,38,132,3,1,1,1
1,75,8,55,17,2,0,0,1
1,75,8,114,7,3,1,1,1
1,76,2,88,102,3,0,1,1
1,76,4,129,38,1,1,1,0
1,76,5,120,10,1,1,1,0
1,76,10,59,100,3,0,1,1
1,77,1,50,9,1,0,1,1
1,77,2,83,5,4,0,1,0
1,77,2,127,89,2,1,0,0
1,77,4,19,63,2,1,1,0
1,77,5,111,104,4,0,1,0
1,77,12,86,52,3,1,1,0
1,78,1,99,81,4,0,0,1
1,78,2,31,113,1,1,0,1
1,78,6,8,72,3,0,0,1
1,78,8,106,58,3,0,1,1
1,78,12,7,47,2,1,0,0
1,79,1,55,110,2,1,1,1
1,79,2,48,72,2,1,1,1
1,79,3,40,115,2,1,1,1
1,80,6,69,75,4,1,1,1
1,81,4,1,71,2,0,1,0
1,81,8,13,79,1,0,0,1
