batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias
1,1,1,3220,4607,2,0,0,0
1,1,1,7078,1813,4,1,1,1
1,1,1,8448,9268,2,1,0,1
1,2,1,2894,2699,2,0,0,1
1,2,2,1140,3461,4,0,0,1
1,3,2,191,640,2,0,1,0
1,3,2,987,1714,1,1,1,0
1,3,2,2658,2771,1,1,1,1
1,3,2,2678,1945,2,1,1,1
1,3,2,3206,2635,4,0,0,0
1,3,3,2969,38,3,0,1,0
1,4,1,490,363,3,0,0,0
1,4,1,1825,782,1,0,0,0
1,4,1,2174,1831,1,1,1,0
1,4,3,1260,1412,4,1,1,0
1,4,4,1069,238,2,0,0,1
1,4,4,1847,1955,1,0,0,1
1,5,1,673,1441,3,1,1,0
1,5,1,1883,250,3,0,0,1
1,5,2,844,444,2,1,0,1
1,5,5,566,1896,3,0,1,1
1,5,5,740,1070,3,1,0,1
1,6,3,545,886,1,1,1,1
1,6,5,768,1115,2,1,0,1
1,7,2,270,978,4,0,0,0
1,7,3,652,549,3,1,0,1
1,7,4,1237,175,3,0,1,0
1,8,2,319,728,3,0,0,1
1,8,2,866,993,2,1,0,1
1,9,3,321,294,1,0,0,1
1,9,5,919,945,3,0,0,1
1,10,5,489,637,1,0,0,0
1,11,2,581,534,1,1,1,1
1,11,4,661,479,3,1,1,0
1,11,4,743,573,1,1,0,0
1,11,5,207,841,2,0,1,1
1,11,7,356,186,2,1,1,1
1,12,1,61,158,4,1,0,1
1,12,5,618,669,1,1,1,1
1,12,5,824,522,4,0,0,1
1,12,6,66,37,2,0,0,0
1,13,6,590,753,1,0,0,1
1,14,2,241,395,4,0,1,0
1,14,5,221,361,3,1,1,0
1,14,5,628,322,1,0,0,1
1,15,3,564,639,1,1,1,0
1,15,4,151,219,4,0,1,0
1,15,4,458,75,2,0,1,0
1,15,6,630,214,3,0,1,1
1,16,5,175,441,3,0,1,0
1,16,7,79,415,3,0,1,1
1,16,7,488,370,3,0,1,0
1,17,1,587,504,4,0,0,1
1,17,5,261,424,3,0,1,0
1,18,1,275,462,4,0,0,0
1,18,2,164,484,2,1,1,1
1,18,3,39,47,1,1,1,1
1,18,3,455,539,4,1,1,1
1,18,5,336,156,3,1,1,0
1,18,7,190,24,3,1,0,0
1,18,7,453,193,4,0,1,1
1,19,1,255,433,1,0,1,1
1,19,3,34,193,2,0,1,0
1,19,4,39,57,4,0,0,1
1,19,5,60,485,1,1,1,0
1,19,7,14,173,4,1,0,0
1,19,7,441,352,3,0,1,1
1,20,6,301,381,4,1,0,1
1,20,6,430,56,3,1,1,0
1,21,5,13,290,4,1,1,0
1,22,1,219,436,4,0,1,0
1,22,4,342,128,2,1,1,0
1,23,3,278,88,3,0,0,0
1,23,5,113,335,3,0,0,0
1,23,7,241,53,4,1,1,1
1,24,1,74,28,3,1,1,0
1,24,2,294,7,4,1,0,1
1,24,3,2,80,1,0,0,0
1,24,3,345,398,4,0,0,0
1,24,5,352,59,2,0,0,0
1,25,2,8,253,2,1,1,1
1,25,5,143,351,2,0,0,0
1,25,6,74,92,1,1,0,1
1,25,6,303,59,3,0,1,1
1,26,1,64,157,3,1,0,1
1,26,2,32,87,2,0,0,0
1,26,2,249,22,4,0,0,1
1,27,1,216,355,4,0,1,0
1,27,6,58,235,1,1,0,0
1,27,7,337,56,3,1,1,0
1,28,7,272,354,3,0,1,0
1,28,7,326,238,2,1,0,1
1,29,2,23,232,2,1,1,1
1,29,3,142,300,3,1,1,1
1,29,5,10,218,3,1,0,0
1,30,1,232,317,4,0,0,0
1,30,2,18,28,1,1,0,1
1,30,2,240,33,3,1,1,0
1,30,3,300,254,1,0,1,1
1,30,4,229,244,4,0,0,1
1,30,6,164,297,1,1,0,1
1,30,6,222,120,2,0,0,1
1,31,5,318,299,2,1,1,0
1,32,4,54,185,2,1,0,0
1,32,6,14,303,1,0,1,0
1,32,6,154,284,1,1,0,1
1,33,1,264,173,4,0,0,0
1,33,2,157,27,3,0,0,0
1,33,4,178,159,3,0,1,1
1,33,4,193,218,2,0,1,0
1,34,3,238,198,3,0,0,1
1,35,3,124,92,3,0,0,1
1,35,3,179,31,4,0,0,1
1,35,3,276,208,2,0,0,1
1,35,4,147,196,2,0,0,0
1,35,6,2,266,2,1,1,1
1,35,7,237,21,3,1,0,0
1,35,7,270,215,2,0,1,0
1,36,1,99,53,4,1,0,1
1,36,4,198,71,2,0,0,1
1,36,5,88,5,3,0,0,1
1,37,5,198,218,4,0,1,0
1,37,5,239,154,2,1,0,1
1,37,6,186,256,1,1,0,1
1,38,5,169,199,4,1,1,1
1,39,4,241,40,3,1,0,1
1,39,6,36,145,1,1,1,1
1,39,7,59,110,3,1,1,0
1,39,7,178,91,1,0,1,1
1,40,2,67,127,4,1,1,0
1,40,4,179,99,2,1,1,1
1,41,1,82,205,1,0,1,1
1,41,1,89,6,2,0,1,0
1,41,1,106,117,3,0,0,0
1,41,1,171,143,2,1,0,1
1,41,2,147,228,1,1,1,1
1,41,6,7,170,4,1,0,0
1,42,1,3,44,1,0,1,1
1,42,4,219,137,4,1,1,1
1,43,1,198,85,1,0,1,1
1,43,3,79,45,4,1,0,1
1,43,5,165,229,3,1,0,1
1,43,5,192,116,1,1,0,1
1,44,1,144,211,4,0,0,0
1,45,1,27,91,4,0,1,0
1,45,6,211,33,1,1,1,1
1,46,1,209,211,4,1,1,1
1,46,2,2,66,1,1,0,1
1,46,2,49,198,4,1,1,1
1,46,3,109,109,3,0,0,0
1,46,5,102,215,1,1,0,1
1,46,7,136,135,2,1,0,0
1,47,1,196,66,2,1,1,0
1,47,2,60,178,1,0,0,1
1,47,5,55,112,4,1,1,1
1,48,6,200,10,4,1,1,1
1,48,7,133,28,3,1,0,1
1,49,1,7,189,4,0,0,0
1,49,5,57,144,1,1,1,1
1,50,5,103,182,2,1,0,0
1,50,6,95,135,1,1,0,1
1,51,1,54,88,4,0,0,1
1,51,4,76,106,4,1,1,1
1,51,5,74,182,4,1,1,1
1,51,7,147,105,1,1,1,1
1,52,5,20,156,1,0,1,1
1,52,5,188,120,1,0,0,1
1,53,1,9,111,2,1,1,0
1,53,4,7,187,4,0,1,1
1,53,6,97,28,1,1,0,0
1,54,2,86,42,1,0,1,1
1,54,3,116,64,1,1,1,1
1,54,5,92,72,4,0,1,0
1,55,3,53,124,3,0,0,0
1,55,3,170,77,1,1,0,1
1,55,5,30,84,2,0,1,0
1,55,7,109,33,3,0,1,0
1,56,4,43,103,3,1,1,1
1,57,3,60,110,3,0,0,1
1,58,3,73,96,4,0,1,0
1,58,7,60,85,4,0,1,0
1,59,1,9,10,3,0,0,0
1,59,2,48,149,2,1,0,1
1,59,3,47,153,3,1,0,1
1,59,5,163,56,3,0,0,0
1,59,7,40,155,1,1,1,0
1,60,1,151,107,3,1,0,0
1,60,2,55,38,3,1,0,0
1,60,5,111,51,1,1,1,1
1,60,7,130,5,2,0,1,1
1,61,5,100,6,4,0,0,1
1,61,6,61,87,2,1,0,1
1,61,6,141,57,3,0,0,0
1,62,1,139,136,4,1,1,1
1,62,3,54,46,2,0,0,1
1,62,5,79,125,1,0,1,1
1,63,2,41,63,1,1,1,0
1,63,7,119,28,3,0,0,0
1,64,3,58,90,3,1,1,0
1,64,5,149,47,4,1,0,0
1,64,7,127,144,1,1,0,0
1,64,7,128,154,4,1,0,1
1,65,4,108,139,2,0,1,0
1,65,4,136,128,3,1,0,0
1,65,4,149,128,1,0,1,0
1,65,6,129,27,2,0,1,0
1,66,1,19,87,3,1,0,0
1,66,2,87,31,4,1,1,0
1,67,1,97,22,1,0,0,1
1,67,3,90,39,1,1,1,1
1,67,5,38,62,1,0,1,1
1,67,5,120,55,3,1,0,0
1,67,6,65,56,1,1,0,1
1,68,2,118,67,4,0,0,0
1,68,2,130,77,2,0,1,1
1,68,7,44,85,2,0,1,0
1,69,6,101,105,4,0,1,0
1,70,4,14,8,3,1,1,1
