batchsize,dim_input,dim_output,activation_fct
1,1,3376,1
1,16,1379,0
1,16,1424,0
1,22,2494,0
1,36,3540,0
1,45,3112,0
1,48,1144,1
1,51,1579,0
1,54,2051,1
1,54,2421,1
1,55,3185,0
1,60,2060,0
1,61,3407,0
1,69,555,1
1,74,173,0
1,75,2123,1
1,77,267,1
1,82,698,1
1,84,1350,1
1,85,2010,0
1,89,2320,1
1,89,3151,1
1,91,525,1
1,91,1769,0
1,94,3222,0
1,96,3214,0
1,97,2088,1
1,102,2314,0
1,110,3373,0
1,116,2379,1
1,118,774,0
1,118,3537,1
1,119,2849,0
1,120,808,1
1,121,123,0
1,129,3588,0
1,135,1025,1
1,144,353,1
1,146,3084,1
1,149,1792,1
1,149,2398,0
1,150,1271,1
1,155,1444,1
1,155,2944,1
1,160,1821,1
1,161,2659,0
1,162,3101,1
1,163,2678,1
1,173,2137,1
1,174,899,0
1,174,3208,1
1,175,3958,1
1,178,960,1
1,178,1000,0
1,179,362,0
1,179,3222,0
1,182,3363,1
1,186,2016,1
1,190,4091,1
1,195,4006,1
1,197,1404,0
1,201,1142,1
1,202,277,0
1,207,2414,0
1,210,2185,0
1,218,1775,1
1,220,370,1
1,222,853,0
1,225,439,0
1,234,1141,0
1,234,2437,0
1,244,184,0
1,248,2699,1
1,249,1599,0
1,251,1564,1
1,256,1295,1
1,256,2138,0
1,258,2717,0
1,258,3951,1
1,260,1846,1
1,264,3479,0
1,269,2524,1
1,270,495,1
1,270,3990,1
1,271,3257,1
1,273,575,0
1,277,2375,1
1,281,1631,1
1,284,382,1
1,284,1279,0
1,284,1858,1
1,292,514,1
1,296,2206,0
1,299,3886,1
1,304,1178,0
1,307,104,0
1,310,694,1
1,314,1240,1
1,316,2130,1
1,316,2422,0
1,317,2952,1
1,329,2161,0
1,332,2502,1
1,332,2607,0
1,334,128,1
1,336,3128,0
1,337,1443,1
1,338,959,0
1,338,1242,1
1,340,697,0
1,347,3190,1
1,355,516,1
1,357,2323,0
1,359,2105,1
1,362,3070,1
1,363,817,1
