batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean,elements_matrix,elements_kernel
52,479,7,12,7,1,0,1,0,70.51682472229005,69.9620246887207,70.42860984802245,70.39194107055664,70.43007016181944,,
23,70,6,110,52,1,1,0,1,5.427360534667969,5.2504539489746085,5.300164222717285,5.31916618347168,5.314230918884277,,
3,274,3,9,2,3,0,0,0,0.3924369812011719,0.3268718719482422,0.3374814987182617,0.34732818603515625,0.3442466259002685,,
19,81,5,118,45,1,1,1,1,4.80341911315918,4.6753883361816415,4.738092422485352,4.735589027404785,4.734635353088379,,
41,412,2,22,15,1,1,1,1,66.03503227233887,65.7346248626709,65.84644317626953,65.84601402282715,65.83631038665771,,
27,105,1,64,71,2,0,0,0,2.910852432250977,2.732992172241211,2.810001373291016,2.8217315673828125,2.8216838836669917,,
14,282,2,33,26,4,1,0,1,1.93476676940918,1.8489360809326167,1.863241195678711,1.8849611282348635,1.8832385540008545,,
24,384,1,19,10,4,0,1,0,2.7141571044921875,2.646923065185547,2.662181854248047,2.6703596115112305,2.6678144931793213,,
12,367,4,15,1,1,0,1,0,4.385232925415038,4.2760372161865225,4.294633865356444,4.30450439453125,4.297971725463866,,
55,309,2,24,21,2,0,1,0,14.438390731811525,14.379262924194336,14.400243759155273,14.405965805053713,14.405250549316404,,
17,416,6,22,7,3,1,0,1,4.904747009277344,4.642248153686523,4.660487174987793,4.700684547424316,4.682481288909912,,
63,118,3,63,29,4,1,1,1,4.487752914428711,4.374742507934569,4.459023475646973,4.44798469543457,4.452168941497803,,
31,180,4,53,51,1,0,1,0,29.157161712646484,29.018878936767575,29.097795486450195,29.1018009185791,29.10524606704712,,
11,3,1,2720,919,3,1,1,0,0.7638931274414062,0.69427490234375,0.7320642471313477,0.730133056640625,0.7303953170776367,,
24,252,3,2,18,4,1,1,0,0.9763240814208984,0.8952617645263672,0.9244680404663086,0.9276390075683594,0.9256005287170409,,
12,428,4,1,14,2,0,1,1,3.85284423828125,3.761053085327149,3.792405128479004,3.8017749786376953,3.800481557846069,,
34,366,5,23,16,1,1,0,1,48.82526397705078,47.77908325195313,48.73037338256836,48.6098051071167,48.68671298027039,,
40,264,6,33,18,3,0,0,0,6.740570068359375,6.581306457519531,6.655335426330566,6.65585994720459,6.654590368270874,,
29,219,3,6,25,3,0,0,1,1.9941329956054688,1.9392967224121092,1.9780397415161133,1.973438262939453,1.9751191139221191,,
29,390,1,6,20,4,1,0,0,2.83670425415039,2.7441978454589844,2.808094024658203,2.794957160949707,2.796083688735962,,
26,324,5,8,21,3,1,1,1,3.6976337432861333,3.627300262451172,3.6689043045043945,3.66666316986084,3.667712211608887,,
19,425,1,3,21,4,0,0,1,2.279043197631836,2.157211303710937,2.192974090576172,2.2006750106811523,2.1963119506835938,,
3,104,7,34,31,2,1,1,1,0.6463527679443359,0.5285739898681641,0.5466938018798828,0.5579710006713867,0.5505979061126709,,
37,474,6,4,2,4,1,1,1,2.203226089477539,2.1259784698486333,2.13623046875,2.1544218063354488,2.15187668800354,,
18,98,1,37,56,3,1,1,0,0.8599758148193359,0.7522106170654297,0.8068084716796875,0.804448127746582,0.8040368556976318,,
58,271,3,30,9,4,0,0,1,5.118131637573242,5.016565322875977,5.0721168518066415,5.066275596618652,5.066007375717163,,
46,272,4,8,9,2,1,0,0,4.535436630249023,4.440546035766602,4.509687423706055,4.500865936279297,4.504084587097168,,
26,268,3,17,2,3,1,0,0,1.5604496002197266,1.4801025390625,1.529693603515625,1.5253543853759766,1.5266239643096924,,
61,141,1,44,37,1,0,0,1,19.04749870300293,18.932819366455078,18.985748291015625,18.98765563964844,18.987029790878296,,
