batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean,elements_matrix,elements_kernel
13,258,5,16,31,3,0,0,0,26.619911193847656,24.23834800720215,24.703145027160645,24.83139038085937,24.681955575942997,,
48,213,1,13,1,4,0,0,1,9.28354263305664,7.2324275970458975,7.410407066345215,7.757186889648437,7.6319873332977295,,
9,34,7,284,118,2,0,0,0,44.85726356506348,44.35253143310547,44.5547103881836,44.570088386535645,44.56138610839844,,
10,426,7,16,2,1,0,0,0,437.3304843902588,433.12668800354,435.2898597717285,435.421347618103,435.46953797340393,,
57,153,5,24,14,3,1,1,0,38.67864608764648,35.923004150390625,36.72504425048828,36.99769973754883,36.9219183921814,,
50,200,6,49,26,3,1,0,0,261.4138126373291,256.24942779541016,259.20236110687256,258.81698131561285,258.8133215904236,,
21,142,6,13,57,4,1,1,0,16.41249656677246,15.383005142211914,15.552163124084473,15.628337860107422,15.56098461151123,,
33,321,4,5,21,2,1,1,1,88.4099006652832,87.95595169067383,88.12117576599121,88.14969062805176,88.14138174057007,,
59,448,2,11,19,2,0,0,1,251.28865242004397,250.9593963623047,251.09601020812988,251.1031150817871,251.0978877544403,,
61,110,6,36,87,4,0,0,1,85.16812324523927,82.66496658325195,83.13703536987305,83.52549076080322,83.42772722244263,,
63,92,4,75,14,3,0,0,1,33.194541931152344,31.87251091003418,32.201528549194336,32.260894775390625,32.19273686408997,,
49,183,6,26,25,1,0,1,0,893.580436706543,888.5910511016846,890.5540704727173,890.8381938934326,890.7763063907622,,
12,339,3,13,16,2,1,0,1,35.88390350341797,32.688379287719734,35.612940788269036,34.79902744293213,34.92724895477295,,
2,185,2,41,19,3,1,1,0,2.4020671844482417,1.2247562408447266,1.4235973358154297,1.478862762451172,1.3952255249023438,,
47,168,4,18,31,2,1,1,1,70.42121887207031,70.0552463531494,70.23990154266357,70.2284574508667,70.22601366043091,,
6,86,4,96,67,1,1,1,1,77.82340049743651,75.87265968322755,77.52645015716553,76.98254585266112,77.01617479324341,,
32,207,7,4,26,2,0,1,1,65.61136245727539,64.61644172668457,65.03832340240479,65.11986255645752,65.12135267257689,,
21,106,3,79,54,1,0,1,1,170.93443870544434,168.81084442138672,169.52598094940188,169.59006786346438,169.51942443847656,,
42,57,5,19,7,4,0,1,0,3.643989562988281,2.7463436126708984,2.8818845748901367,3.0194520950317383,2.9755234718322754,,
57,194,1,18,30,2,0,1,0,45.90082168579102,45.16410827636719,45.56751251220703,45.59776782989502,45.614093542099,,
21,80,5,36,54,2,1,1,1,30.436038970947266,29.064416885375977,30.076146125793453,29.904937744140625,29.943615198135376,,
35,302,3,22,31,2,1,0,1,147.07231521606442,146.68035507202146,146.9177007675171,146.90384864807132,146.91072702407837,,
34,304,3,22,27,3,1,1,1,65.2155876159668,64.88919258117676,64.97299671173096,64.99876976013185,64.98536467552185,,
3,4,2,1769,526,3,0,1,0,1.705646514892578,1.5192031860351562,1.5857219696044922,1.5858650207519531,1.5792250633239746,,
54,499,7,5,8,2,1,0,0,642.695426940918,487.41555213928217,548.3497381210327,551.5513181686401,548.1752753257751,,
33,359,7,13,21,3,0,1,1,186.7237091064453,185.9149932861328,186.22303009033203,186.24253273010254,186.2233281135559,,
30,488,1,5,11,4,1,0,0,23.609638214111328,20.404577255249023,20.766615867614746,21.690893173217773,21.611839532852173,,
