batchsize,dim_input,dim_output,activation_fct,time_max,time_min,time_median,time_mean,time_trim_mean
38,675,2870,1,3.1468868255615234,2.758502960205078,2.886891365051269,2.9091835021972656,2.898305654525757
33,1142,934,1,1.754045486450195,1.4264583587646484,1.5380382537841797,1.5600204467773438,1.5524625778198242
13,3245,2144,1,4.2417049407958975,3.0345916748046875,3.119349479675293,3.218603134155273,3.1137168407440186
8,3037,3795,1,5.179405212402344,4.955530166625977,4.9980878829956055,5.022478103637695,5.011230707168579
5,4061,3646,0,6.2713623046875,6.077766418457031,6.10661506652832,6.1307430267333975,6.1197876930236825
32,2495,2073,1,7.080078125,6.740570068359375,6.9518089294433585,6.944847106933594,6.95347785949707
56,18,1014,1,0.4267692565917969,0.27298927307128906,0.3663301467895508,0.354766845703125,0.3559887409210205
46,921,2011,1,3.39651107788086,2.8815269470214844,3.049492835998535,3.0887603759765625,3.07619571685791
54,745,1143,1,1.8222332000732424,1.447439193725586,1.5881061553955078,1.6167879104614258,1.6122758388519287
33,1307,4,1,0.2970695495605469,0.15544891357421875,0.19729137420654294,0.22089481353759768,0.21955370903015134
19,2600,3192,1,4.508733749389648,4.3005943298339835,4.446744918823242,4.4327735900878915,4.439800977706909
10,1190,3508,0,2.1855831146240234,1.995563507080078,2.0434856414794917,2.0707845687866206,2.065837383270264
36,2843,1955,1,7.939338684082031,7.052183151245117,7.58969783782959,7.567548751831055,7.585495710372925
27,3234,3713,1,8.490800857543945,7.9877376556396475,8.210897445678711,8.207249641418457,8.199244737625122
12,3794,2631,0,4.714488983154297,4.515886306762695,4.538416862487793,4.587817192077637,4.580974578857422
6,2805,1749,0,2.4650096893310547,2.1948814392089844,2.217888832092285,2.2536516189575195,2.2345781326293945
14,297,3598,0,1.2204647064208984,0.7891654968261719,0.8745193481445312,0.9140253067016602,0.8913278579711914
9,3216,2951,1,4.002809524536134,3.893375396728516,3.941893577575684,3.942394256591797,3.940969705581665
34,2294,331,1,1.2063980102539062,0.9367465972900392,1.0197162628173828,1.0454654693603516,1.0389387607574463
23,1004,1081,0,1.0859966278076172,0.8766651153564453,0.9818077087402344,0.9864091873168944,0.9876787662506104
34,2906,1869,0,7.570505142211914,7.0688724517822275,7.151246070861816,7.2371482849121085,7.216513156890869
39,2932,1013,0,3.8480758666992183,3.654718399047852,3.70323657989502,3.714585304260254,3.7053823471069336
3,1079,1051,1,0.957965850830078,0.6709098815917969,0.7551908493041992,0.7863521575927734,0.7793307304382324
39,3473,3474,0,10.0250244140625,9.613752365112305,9.891271591186523,9.877943992614746,9.892582893371582
7,842,3837,1,1.831769943237305,1.51824951171875,1.7018318176269531,1.692485809326172,1.696854829788208
8,318,472,0,0.2996921539306641,0.2048015594482422,0.22304058074951166,0.2308368682861328,0.22548437118530276
63,2418,321,1,1.540422439575195,1.1518001556396484,1.2930631637573242,1.3099908828735352,1.3009607791900637
17,125,2518,1,0.5025863647460938,0.28324127197265625,0.3721714019775391,0.3911256790161133,0.39067864418029785
41,2245,3761,1,7.378578186035156,6.9506168365478525,7.242918014526367,7.21743106842041,7.230639457702638
35,1372,230,1,0.6933212280273438,0.5018711090087891,0.5568265914916992,0.5781650543212891,0.5733072757720947
6,1590,1995,0,1.6703605651855469,1.5635490417480469,1.6068220138549805,1.6112089157104492,1.6097724437713623
24,2474,3640,0,5.131959915161133,4.839897155761719,5.0106048583984375,4.991626739501953,4.993051290512085
15,3352,664,0,1.827239990234375,1.206159591674805,1.2711286544799805,1.3663291931152344,1.3287365436553955
42,3101,2789,1,12.656927108764648,11.878252029418945,12.323141098022461,12.322211265563965,12.335866689682007
37,735,3565,0,2.8219223022460938,2.5510787963867188,2.677321434020996,2.66878604888916,2.6643574237823486
63,1839,1109,1,3.750801086425781,3.4384727478027344,3.5603046417236333,3.567218780517578,3.560364246368408
9,1383,2460,0,2.6180744171142583,1.695394515991211,1.7786026000976562,1.8455982208251955,1.7678141593933103
37,508,3743,0,2.254009246826172,1.9063949584960935,2.048969268798828,2.070856094360352,2.068519592285156
40,129,2889,1,1.0237693786621094,0.7178783416748047,0.8213520050048828,0.8478403091430664,0.8420944213867188
17,2774,1779,1,2.8402805328369136,2.6531219482421875,2.7000904083251958,2.7127504348754883,2.7042627334594727
13,1412,1664,0,1.2738704681396484,1.115560531616211,1.1835098266601562,1.1917591094970703,1.1910200119018557
29,3284,3528,1,8.197784423828125,7.708311080932617,7.934212684631348,7.958340644836426,7.959663867950439
55,2239,305,1,1.3120174407958984,0.9562969207763672,1.0066032409667969,1.0720014572143557,1.0564625263214111
42,336,3275,1,1.529693603515625,1.2578964233398438,1.4246702194213867,1.4138221740722656,1.4188289642333984
8,3279,1559,1,2.4700164794921875,2.2308826446533203,2.3336410522460938,2.3520708084106445,2.3524761199951167
45,1661,2915,1,7.42340087890625,6.780862808227539,7.133603096008301,7.1253299713134775,7.131129503250122
56,3015,153,1,1.131296157836914,0.7460117340087891,0.8834600448608398,0.8988142013549805,0.8888542652130127
61,2936,1565,1,8.03375244140625,7.387399673461914,7.560014724731445,7.597661018371582,7.569432258605957
20,434,1608,0,0.6463527679443359,0.4811286926269531,0.5871057510375977,0.5778074264526367,0.5813241004943848
63,2997,313,1,2.141714096069336,1.3005733489990234,1.5344619750976562,1.593923568725586,1.5621185302734375
38,2218,151,1,0.6685256958007812,0.4558563232421875,0.5424022674560547,0.5478382110595703,0.5442500114440918
60,870,1801,0,3.0910968780517583,2.696752548217773,2.86245346069336,2.8653860092163086,2.8582513332366943
64,1225,1990,1,4.922151565551758,4.3206214904785165,4.574060440063477,4.585552215576172,4.5765936374664316
57,3398,488,0,2.473592758178711,2.138376235961914,2.278447151184082,2.2938251495361333,2.290785312652588
6,1259,2449,0,2.0699501037597656,1.3697147369384766,1.4581680297851562,1.574563980102539,1.5382468700408936
24,3976,2879,0,7.939577102661133,6.33692741394043,6.491422653198242,6.619429588317871,6.489723920822144
53,215,1126,0,0.8504390716552734,0.4763603210449219,0.5789995193481445,0.5884885787963867,0.569760799407959
61,1138,2635,1,5.563735961914063,4.986286163330078,5.180597305297852,5.217504501342773,5.203127861022949
62,2481,2629,0,11.066913604736328,10.683536529541016,10.829567909240724,10.860586166381836,10.856926441192627
33,384,2977,1,1.4913082122802734,1.129150390625,1.3347864151000977,1.3353347778320312,1.34161114692688
57,3874,2864,1,17.530441284179688,16.530990600585938,16.92044734954834,17.030572891235348,17.030537128448483
48,3647,27,0,0.4537105560302734,0.26345252990722656,0.3476142883300781,0.3586769104003906,0.3587007522583008
17,2623,1140,1,1.8191337585449217,1.636981964111328,1.7406940460205078,1.7275333404541016,1.7274022102355957
42,144,1568,1,0.7221698760986328,0.4575252532958984,0.5891323089599609,0.5831003189086914,0.5814135074615479
36,785,2304,0,2.8984546661376958,2.4640560150146484,2.660393714904785,2.6799440383911133,2.6796162128448486
20,691,2309,1,1.8754005432128904,1.1720657348632812,1.2955665588378906,1.3374090194702148,1.290827989578247
22,167,2527,1,0.6012916564941406,0.39505958557128906,0.5185604095458984,0.5070209503173828,0.5092322826385498
44,3300,1230,0,5.858421325683594,5.344152450561523,5.657672882080077,5.621767044067383,5.626887083053589
32,1857,73,0,0.4367828369140625,0.2520084381103516,0.30672550201416016,0.3233671188354492,0.31810998916625977
40,3439,3432,1,10.123252868652344,9.323835372924805,9.697318077087402,9.749603271484377,9.756118059158323
45,2477,1500,0,5.820512771606445,5.139589309692383,5.465984344482422,5.48703670501709,5.488783121109009
36,1952,1000,0,2.59089469909668,2.2313594818115234,2.510309219360352,2.480554580688477,2.4979114532470703
57,2852,1977,0,9.368896484375,8.826732635498047,9.140253067016602,9.123373031616213,9.129762649536133
44,1381,1678,0,3.719806671142578,3.348350524902344,3.5196542739868164,3.5346508026123047,3.5347938537597656
5,2314,3694,0,3.7870407104492183,3.624439239501953,3.695368766784668,3.6996841430664062,3.6981701850891113
6,419,3224,1,1.0273456573486328,0.7615089416503906,0.813603401184082,0.8342742919921875,0.8192360401153564
13,1821,3366,1,3.3395290374755864,3.029346466064453,3.203272819519043,3.1891584396362305,3.190338611602783
47,3890,1968,0,11.130571365356444,10.291337966918944,10.7651948928833,10.748004913330078,10.757267475128174
3,2424,3581,1,3.8290023803710938,3.612756729125977,3.703474998474121,3.7103891372680655,3.7077665328979488
48,1280,604,1,1.5058517456054688,1.0344982147216797,1.3265609741210938,1.2773990631103516,1.279205083847046
39,2243,753,0,2.345561981201172,1.898765563964844,2.0798444747924805,2.1008729934692383,2.095550298690796
55,512,917,0,1.1343955993652344,0.90789794921875,1.0460615158081057,1.0343074798583984,1.03759765625
25,1171,1131,0,2.0225048065185547,1.7309188842773438,1.8138885498046875,1.8342971801757808,1.8236935138702397
63,2244,3799,1,10.03885269165039,9.475231170654297,9.774923324584961,9.76121425628662,9.762257337570189
26,3735,2712,0,13.379573822021484,12.266874313354492,12.370109558105467,12.50441074371338,12.424707412719727
55,1809,2168,0,6.6568851470947275,6.134986877441406,6.351351737976074,6.38880729675293,6.3870251178741455
23,541,479,0,0.431060791015625,0.3070831298828125,0.3387928009033203,0.34842491149902344,0.3432631492614746
26,665,3907,0,2.4323463439941406,2.1445751190185547,2.2095441818237305,2.2441625595092773,2.2330880165100098
28,3215,1635,0,6.902456283569336,6.123065948486327,6.561279296875,6.5215110778808585,6.523698568344116
35,2213,750,1,2.763986587524414,1.9059181213378904,2.153873443603516,2.1701097488403316,2.128899097442627
42,1404,2693,1,5.8121681213378915,5.365133285522461,5.511760711669922,5.529284477233887,5.514442920684815
31,2192,31,1,0.3390312194824219,0.21409988403320312,0.2382993698120117,0.2557992935180664,0.2506077289581299
42,664,2706,1,3.0839443206787114,2.649545669555664,2.772212028503418,2.820396423339844,2.8088092803955083
64,1263,3859,0,6.312847137451173,5.654573440551758,6.050467491149902,6.0509443283081055,6.0677528381347665
58,1325,3123,1,4.910469055175781,4.524707794189453,4.831671714782715,4.779577255249023,4.795074462890625
16,91,2342,1,0.40531158447265625,0.2598762512207031,0.3185272216796875,0.3237485885620117,0.3215372562408447
1,1307,3906,0,1.6927719116210938,1.5959739685058594,1.6223192214965818,1.6249656677246094,1.6201138496398926
43,2467,347,0,1.8951892852783203,1.087188720703125,1.2960433959960938,1.3208866119384766,1.278311014175415
50,2501,4029,0,10.333538055419922,9.908914566040039,10.035276412963867,10.076117515563963,10.064840316772461
25,1402,2037,0,3.8893222808837886,3.4067630767822266,3.673791885375977,3.656268119812012,3.6583244800567623
37,345,2528,0,1.8143653869628904,1.3074874877929688,1.4742612838745115,1.5362262725830078,1.5300512313842771
14,2623,2778,0,3.757476806640625,3.5758018493652344,3.651261329650879,3.6652565002441406,3.6649107933044434
58,2179,2353,1,8.774280548095701,8.089542388916017,8.317232131958008,8.361387252807617,8.343756198883058
22,1024,1352,1,1.1243820190429688,0.918865203857422,1.0480880737304688,1.0362625122070312,1.0399222373962402
1,4059,3465,0,4.316329956054688,4.290819168090819,4.3015480041503915,4.301619529724121,4.301130771636963
24,2766,766,1,1.706838607788086,1.473188400268555,1.5558004379272459,1.5489578247070312,1.538693904876709
30,1498,1334,0,2.8944015502929688,2.6161670684814453,2.7195215225219727,2.724623680114746,2.716958522796631
3,3508,2855,1,4.149675369262694,3.9770603179931636,4.092574119567871,4.078507423400879,4.082292318344116
37,1607,493,0,1.3270378112792969,0.9758472442626952,1.1489391326904297,1.1306047439575195,1.1253952980041504
22,1468,2006,0,2.7055740356445312,1.8649101257324217,2.008199691772461,2.0596265792846684,2.003222703933716
14,3448,1866,1,3.2904148101806636,3.0834674835205083,3.145694732666016,3.1726360321044917,3.1690597534179688
15,1784,366,1,0.6349086761474609,0.4308223724365233,0.4923343658447266,0.4980564117431641,0.489354133605957
3,2764,3771,1,4.429101943969727,4.180431365966797,4.2572021484375,4.2759180068969735,4.2687058448791495
29,3135,1101,1,4.304647445678712,4.063367843627931,4.163861274719238,4.173326492309569,4.170656204223634
21,222,4067,0,1.0280609130859375,0.6961822509765625,0.9126663208007812,0.8788108825683594,0.8829832077026367
42,1419,2935,1,6.326436996459961,5.856513977050781,6.0765743255615225,6.087708473205566,6.086766719818115
16,3151,1287,0,2.377033233642578,2.1550655364990234,2.2611618041992188,2.2522687911987305,2.248823642730713
16,3728,3351,1,6.476640701293945,6.23321533203125,6.278038024902344,6.297612190246582,6.283283233642577
48,1283,3760,1,4.796743392944336,4.411458969116211,4.605531692504883,4.60507869720459,4.605323076248169
