batchsize,dim_input,dim_output,activation_fct
35,1420,2379,1
1,3125,2632,1
38,3011,844,1
14,3904,260,0
7,3566,2015,0
31,2488,4049,1
12,2447,492,1
49,3410,3347,0
56,126,1954,0
62,4065,3775,1
53,2582,173,0
6,3430,3900,1
20,958,688,1
11,4073,320,0
26,1851,3255,1
8,1003,3400,1
38,3976,2481,1
6,1191,72,1
54,2491,1009,0
59,4030,3488,0
15,2846,1279,1
61,244,2581,0
25,456,3849,1
61,3550,909,0
53,3142,1621,0
9,3387,3366,1
41,2254,3270,0
42,1155,405,0
15,2924,3992,1
22,3308,4042,1
17,2001,4036,1
34,998,378,1
45,1551,498,0
16,3093,3555,1
33,2225,3606,0
47,2519,739,0
52,2235,792,0
39,3299,2341,1
32,3051,914,0
32,3562,87,0
4,300,4025,1
40,2951,3272,1
15,3517,569,1
45,688,1630,1
29,258,976,1
61,3291,3423,0
7,484,2963,1
2,3282,2741,1
35,872,379,1
19,1009,958,1
62,2155,377,0
21,1091,4030,0
17,2744,3477,1
39,860,203,0
13,2269,4059,1
15,2239,1573,0
14,2349,1132,1
1,2502,2382,0
11,3823,1704,1
49,1904,1370,1
7,2191,2157,1
34,2711,2025,0
10,2698,2963,1
64,2512,2508,1
31,1602,1962,1
64,25,2501,1
36,3589,724,1
8,1881,2095,1
40,3082,292,0
51,1992,762,1
42,2714,378,0
42,4052,3948,1
25,1406,332,0
57,306,2065,1
50,440,3765,0
1,503,2026,1
37,2727,1390,1
61,3416,996,1
50,3392,2822,0
34,1955,609,1
10,2485,823,1
30,3928,2822,0
41,1240,2905,1
28,3439,844,1
32,3831,344,0
40,2437,642,0
41,2667,755,1
2,243,4003,1
1,3337,1228,0
1,924,1707,0
6,1280,1300,1
10,1799,1370,1
52,3750,2106,1
38,2238,1385,1
60,3841,373,1
64,3108,44,1
52,1569,3825,1
3,2043,966,1
52,1149,1484,0
44,1740,4002,0
45,1068,2657,0
50,547,1879,1
13,3949,2002,1
15,677,2639,1
6,3259,899,0
3,863,2776,1
54,2905,50,0
22,450,3286,1
38,2425,2849,0
57,1081,2376,0
59,82,4026,0
20,1755,2151,0
63,3336,1776,0
27,143,3972,1
53,1446,1065,0
25,1085,642,0
16,3682,4065,0
2,2164,446,1
33,2095,572,1
13,3437,2804,0
33,2678,2906,0
46,959,3294,0
13,3838,1039,1
6,2708,1079,1
41,3631,1670,0
28,277,1058,1
8,1721,1206,0
27,3461,480,1
19,1,1440,1
59,2022,1824,0
64,3418,3757,1
48,4040,2828,1
26,2273,1392,1
46,4036,413,0
41,2027,1128,0
54,4087,977,1
60,3439,2533,0
55,1904,3304,1
1,2808,251,0
59,1056,1009,1
59,1709,3580,0
2,3253,2467,0
1,3058,3977,0
38,1735,1404,0
21,1809,3719,1
41,682,435,0
31,1732,1701,0
5,3965,605,0
13,3818,3049,1
17,3565,3144,0
10,2741,3224,0
30,2256,1582,1
5,1893,4043,1
44,1674,1355,1
44,631,3386,1
55,1256,3760,0
12,80,2183,0
30,90,1894,1
14,2926,2052,0
14,1602,3537,0
22,2909,3171,0
23,2691,2082,1
25,387,5,1
31,231,77,0
62,148,478,1
61,328,3955,1
8,44,4041,1
22,2379,2588,1
59,3980,1832,1
14,669,1862,1
42,524,1346,1
56,1788,2886,1
19,2143,3955,1
60,1669,1464,0
59,575,341,0
47,615,3113,0
36,738,611,0
34,3593,1326,1
31,1362,4094,1
48,1767,2984,0
32,2433,1139,1
46,1784,1565,0
16,1109,2750,0
