batchsize,matsize,channels_in,poolsize,padding,strides
15,98,57,5,0,3
26,54,25,2,1,2
60,487,3,7,1,1
39,334,12,6,0,1
54,249,1,3,1,3
19,380,17,3,1,2
17,267,19,2,1,1
61,341,27,7,1,4
60,290,11,2,1,2
52,379,22,2,0,3
2,206,2,4,1,4
43,414,1,4,0,3
7,407,9,4,1,4
3,266,22,4,1,3
32,465,8,7,0,3
44,267,10,5,0,2
41,4,629,1,0,4
52,293,11,1,1,3
58,239,26,7,0,3
5,377,18,3,0,3
37,426,22,4,0,1
25,243,4,3,1,4
19,123,49,2,0,2
15,338,10,4,0,3
21,125,35,6,1,3
61,312,1,3,1,4
45,158,45,3,1,1
55,11,888,6,0,2
33,506,1,6,0,3
33,272,24,4,1,2
8,336,11,2,1,1
16,157,36,2,0,2
22,259,32,1,0,4
55,113,20,1,0,3
48,388,16,1,0,1
9,45,215,4,0,2
50,198,36,7,1,2
51,139,13,7,0,2
51,130,59,4,0,3
27,435,21,4,1,1
35,144,56,4,1,1
3,397,24,7,0,2
58,50,145,5,0,1
18,244,36,4,0,3
56,82,50,3,0,4
48,49,162,7,1,1
51,291,29,6,0,1
35,174,56,1,0,3
22,478,12,4,0,3
60,350,12,1,0,4
17,320,23,5,0,1
15,19,197,6,0,3
9,126,24,3,1,2
46,122,56,7,0,2
52,12,443,4,0,3
18,31,303,7,0,3
19,273,30,7,0,4
48,466,1,1,0,4
6,340,2,1,0,1
55,28,347,7,1,3
27,171,11,3,0,3
35,409,13,3,1,3
46,24,90,4,1,2
6,465,19,4,0,2
38,110,82,6,1,2
34,414,2,5,0,3
28,285,31,6,0,4
34,2,636,1,0,3
43,265,30,1,0,1
63,135,63,6,0,3
19,318,29,7,0,2
26,495,18,6,1,1
2,37,157,7,0,3
50,7,792,4,0,4
56,239,11,7,1,1
30,479,16,2,0,1
37,163,40,6,1,3
23,264,1,1,1,2
45,262,10,5,0,2
54,383,9,6,1,4
17,381,23,4,0,3
27,108,36,2,1,4
53,447,12,7,0,2
62,417,15,3,0,1
58,245,3,3,1,2
8,3,1414,1,1,4
17,416,2,6,1,3
41,473,15,4,0,2
52,511,4,2,0,4
39,279,30,2,1,2
42,267,25,6,0,3
56,346,14,6,0,1
24,497,7,7,0,1
40,35,6,6,1,2
41,276,14,6,0,3
5,128,6,5,0,3
62,161,26,4,1,2
49,328,7,7,0,3
31,125,55,7,0,1
16,132,35,6,0,2
35,129,1,6,1,1
32,438,13,4,1,1
34,196,38,3,1,4
48,50,59,5,1,1
42,505,15,2,1,2
35,403,1,1,1,1
25,341,24,7,0,1
15,469,10,1,1,3
47,82,14,3,1,2
8,239,13,7,1,4
9,86,13,5,1,4
41,267,18,4,1,2
23,246,19,6,1,4
33,256,20,2,1,2
12,24,138,5,1,3
36,92,45,1,1,4
36,249,12,4,0,3
16,448,10,1,1,1
16,113,47,1,0,2
9,195,7,4,1,1
39,44,139,1,1,3
24,357,6,3,0,3
58,68,94,3,1,3
23,149,26,6,0,3
63,24,338,3,1,2
35,301,5,7,0,3
22,372,8,2,1,2
24,218,26,2,0,1
53,497,13,5,1,1
52,480,17,2,1,3
61,451,14,7,0,1
24,424,12,1,0,4
56,198,47,6,1,3
29,235,14,3,1,4
52,28,187,7,1,3
17,28,262,4,1,2
24,412,2,2,1,1
18,403,2,6,1,2
47,511,17,1,0,4
50,250,34,2,1,2
28,490,9,6,0,4
19,85,94,6,0,3
3,418,11,4,1,1
30,22,129,6,0,2
49,434,18,2,0,4
16,330,13,7,0,3
33,51,101,7,0,3
31,235,16,5,1,4
28,278,31,7,1,4
30,402,22,4,1,3
52,161,30,5,1,4
7,277,25,6,1,1
35,428,14,7,1,2
46,108,48,2,0,1
60,312,14,3,1,2
33,270,21,3,0,4
56,252,7,7,0,4
15,259,12,7,0,4
42,242,11,7,0,2
37,22,225,5,0,2
49,423,20,7,1,4
2,315,28,2,1,4
38,476,19,5,1,3
3,502,4,3,0,1
46,344,26,2,0,1
23,123,25,1,0,1
31,301,19,5,0,4
34,255,30,4,1,2
34,44,114,1,1,2
21,81,29,6,1,3
15,201,3,5,1,2
48,123,78,3,0,4
49,504,6,5,0,3
61,122,41,3,1,4
44,144,66,5,1,1
30,27,214,6,1,3
34,374,3,5,0,4
55,454,18,6,1,1
18,162,14,5,0,2
1,302,10,5,0,4
47,345,3,4,0,2
1,295,25,4,0,1
13,260,8,6,1,1
11,470,14,1,1,1
48,335,4,7,0,2
7,453,7,3,1,3
17,282,28,1,1,1
37,46,212,1,0,1
6,58,139,4,0,2
49,476,11,2,1,4
15,55,123,1,0,3
42,510,2,7,0,1
43,180,29,6,0,1
13,206,32,6,0,4
6,129,22,7,0,2
45,439,4,2,1,3
56,351,12,2,0,3
55,64,101,6,1,4
31,462,1,5,1,3
38,417,15,2,1,4
28,437,11,3,0,4
44,224,8,4,0,2
2,230,23,3,1,3
43,486,6,1,0,1
33,319,8,3,1,4
23,134,57,3,0,2
18,188,48,6,0,3
59,450,21,7,1,4
31,84,42,1,1,1
21,174,44,5,0,1
19,42,164,3,1,1
26,338,8,2,1,3
13,383,18,6,1,4
35,295,10,6,0,1
53,47,73,5,0,1
25,378,12,3,1,1
41,313,25,4,0,2
11,262,28,5,0,1
28,17,294,1,0,4
33,410,21,3,1,2
21,260,2,1,0,4
62,505,18,3,1,3
31,389,11,6,0,3
32,434,2,7,1,2
49,462,10,6,0,3
52,436,3,7,1,4
36,466,13,4,1,2
61,440,13,2,1,1
4,471,18,5,0,3
13,405,5,7,1,3
35,163,11,2,0,3
54,381,15,6,1,3
26,323,7,5,1,1
37,74,15,6,0,2
19,295,17,2,0,2
7,441,18,7,1,2
29,31,186,3,1,3
5,10,562,5,0,4
27,167,2,6,0,3
34,216,40,5,1,4
62,309,19,2,0,4
33,475,14,2,1,3
61,133,47,3,0,4
38,354,20,6,1,3
29,239,5,4,1,1
16,361,14,7,1,2
25,388,17,7,0,2
36,253,30,2,1,3
21,293,7,4,0,3
58,350,12,6,0,2
9,455,16,6,1,4
16,329,29,7,0,2
35,261,34,1,1,3
7,132,24,6,1,2
1,74,39,7,0,1
5,246,22,6,1,3
54,75,103,6,0,4
57,447,9,1,1,2
36,179,10,2,0,1
29,104,34,7,0,2
41,278,10,4,0,3
52,261,2,6,0,2
4,295,28,6,0,3
15,141,41,3,0,4
42,249,1,7,1,1
17,261,24,2,0,1
28,480,8,3,1,1
12,162,41,6,0,3
8,94,95,3,0,2
48,256,11,5,0,4
9,233,27,3,0,1
39,321,2,6,0,4
16,451,3,2,1,4
50,460,17,3,0,3
55,466,8,3,0,3
17,3,494,3,1,4
16,63,6,5,1,2
49,499,5,7,0,1
2,417,21,1,1,4
63,240,29,4,0,1
20,112,77,6,1,1
22,347,21,6,0,3
36,26,248,1,1,4
28,439,1,7,0,3
7,223,14,6,1,3
58,289,3,5,0,3
16,243,3,3,1,3
20,32,235,4,0,1
19,248,16,4,1,3
58,231,5,3,1,2
32,107,23,5,0,4
24,304,2,4,0,1
24,334,22,7,1,3
63,105,38,7,1,4
58,149,19,5,0,3
17,278,1,3,0,3
42,94,45,2,0,2
54,273,20,1,1,2
57,79,69,7,0,2
35,133,16,3,1,2
30,111,11,6,1,1
42,398,16,1,1,2
34,43,171,5,1,3
9,320,1,5,0,3
12,368,11,3,1,3
8,155,17,1,1,4
14,412,21,7,0,4
13,77,77,2,0,1
8,310,19,6,1,1
4,178,1,1,1,3
40,280,25,3,1,2
11,264,33,4,1,1
11,298,12,2,0,4
60,83,25,5,1,2
44,128,33,1,1,4
10,479,10,1,1,3
23,150,57,7,0,4
59,511,12,2,1,3
16,201,8,5,1,2
27,318,12,1,0,3
34,36,69,5,1,4
17,57,149,2,1,1
2,57,5,2,1,3
27,261,11,5,0,2
51,311,18,5,0,2
15,337,15,6,0,1
37,158,7,5,0,1
22,49,7,2,0,2
51,155,36,1,0,3
20,263,22,3,0,2
12,45,14,1,1,4
1,265,26,3,0,4
8,331,21,7,1,1
23,480,12,2,1,1
49,12,812,2,0,4
25,6,1224,4,0,3
30,486,7,3,1,4
29,340,7,4,0,3
36,400,23,1,1,3
50,308,29,2,0,4
34,482,2,6,0,3
44,214,45,3,1,3
61,72,111,3,0,4
23,330,11,7,0,4
31,422,2,1,0,2
12,306,31,7,0,3
48,430,5,5,1,4
14,80,89,2,0,4
19,374,13,3,0,2
36,236,21,6,1,1
25,5,1716,1,0,2
30,486,1,2,0,3
18,463,7,6,0,1
63,450,14,2,1,3
6,145,29,1,1,1
29,206,35,5,0,2
41,157,53,4,0,1
17,299,18,7,0,2
29,41,109,2,1,4
63,274,29,6,1,4
4,438,13,5,0,1
44,70,25,6,0,4
53,155,32,3,0,3
48,410,23,3,0,3
58,420,12,7,1,3
1,157,1,1,0,2
38,365,11,7,1,2
53,256,12,3,1,1
63,302,30,1,1,3
57,210,1,3,0,4
50,173,3,5,1,2
27,24,134,4,1,1
49,45,134,1,0,4
5,286,16,7,1,2
31,44,7,6,1,4
21,112,73,5,0,2
24,355,11,6,0,4
6,308,7,4,1,1
10,238,23,2,1,1
36,162,33,2,0,4
32,433,14,3,1,3
18,328,25,1,0,1
57,476,6,6,0,1
6,310,8,7,1,1
63,378,24,4,0,2
19,351,5,7,1,2
21,55,37,3,0,3
13,259,31,7,0,1
37,286,20,6,0,4
20,261,2,1,1,3
60,238,1,4,1,1
64,436,9,7,0,1
62,48,86,1,1,1
21,397,3,3,0,2
16,325,12,3,0,4
28,418,5,1,1,3
3,469,9,2,0,4
24,336,15,7,0,3
44,167,34,4,0,4
17,418,17,7,1,2
23,338,12,3,0,4
37,507,13,2,0,3
36,3,566,3,1,4
3,10,853,6,1,2
22,503,5,2,1,4
16,93,5,2,0,3
64,252,28,4,1,4
16,406,12,3,0,3
52,76,11,6,0,2
1,161,39,7,0,4
8,181,9,6,0,3
39,423,1,4,0,4
26,166,39,5,1,4
52,372,14,1,1,1
37,507,15,6,0,4
5,25,358,7,0,1
6,62,126,6,1,1
1,209,42,5,1,1
4,286,20,7,1,3
32,87,5,6,0,3
41,416,3,3,0,3
34,16,51,1,0,2
38,83,113,7,0,4
29,455,20,2,0,2
26,512,6,5,0,1
17,247,30,4,1,1
40,474,5,4,1,4
33,3,335,1,1,1
15,499,6,2,0,2
6,254,11,7,1,1
20,281,30,5,0,1
30,342,3,3,0,1
2,2,903,1,1,2
8,353,20,3,1,4
7,127,40,6,1,1
37,196,5,5,0,3
3,70,98,2,1,4
27,19,84,3,1,3
15,325,1,7,0,4
43,264,7,6,0,4
64,184,29,7,1,2
37,405,16,5,1,2
48,445,1,3,0,1
55,170,49,6,0,2
32,289,19,5,0,4
23,439,1,6,1,3
35,399,19,3,1,3
41,80,35,5,0,2
57,21,451,1,0,1
53,469,1,3,1,2
15,266,1,5,0,4
50,155,1,2,0,2
1,312,12,7,0,3
16,318,11,6,1,1
51,383,13,2,0,3
25,204,5,6,0,1
4,469,20,4,0,2
26,68,110,1,1,2
24,491,6,6,1,4
23,201,1,5,0,2
35,143,11,6,0,3
27,424,7,5,1,2
9,463,19,6,1,1
43,110,5,1,1,1
20,419,4,2,0,4
31,127,26,5,0,4
5,269,1,2,1,1
59,150,21,3,0,4
44,261,34,4,0,4
52,7,487,6,0,2
55,2,2445,2,0,3
29,461,2,6,1,3
6,14,630,2,0,3
28,214,12,1,0,1
22,465,17,2,1,1
31,147,26,1,0,4
14,102,29,3,1,4
37,263,6,2,1,4
62,84,79,3,1,3
40,484,7,6,0,1
59,114,13,5,1,4
15,222,25,4,1,4
22,336,2,2,1,4
63,94,83,4,0,1
63,354,17,3,0,3
2,30,250,7,1,1
34,48,119,2,1,2
38,490,15,3,0,2
3,320,14,7,1,2
42,136,63,2,0,4
4,39,166,1,1,4
46,300,15,4,1,2
28,323,24,7,0,1
39,116,60,3,1,4
62,506,15,7,0,3
60,34,247,7,1,1
11,502,4,6,1,1
24,61,11,2,1,2
60,137,64,7,1,1
55,415,9,5,1,2
20,192,49,7,1,4
2,427,18,2,1,2
22,167,48,2,0,2
59,173,18,5,0,3
9,427,4,3,1,4
23,241,39,3,1,1
33,262,30,2,1,1
23,511,10,2,0,1
40,32,115,2,1,3
52,310,25,5,1,3
5,441,2,1,1,1
54,182,23,5,1,4
15,229,6,6,1,4
55,362,21,2,0,1
40,455,17,4,1,3
9,477,5,5,1,2
62,322,4,7,0,2
12,436,6,1,1,3
42,352,24,7,0,2
20,399,17,2,1,3
19,103,14,3,0,1
19,197,46,3,1,2
2,280,34,7,0,3
47,119,14,5,0,3
49,117,8,5,0,3
45,283,29,3,1,2
60,173,34,3,1,2
6,472,9,7,1,2
13,68,93,3,1,1
19,424,1,2,0,1
2,488,17,3,0,4
32,444,8,3,0,1
37,137,48,2,1,1
33,101,30,4,0,3
40,274,35,3,0,1
60,486,14,4,0,2
23,17,205,6,1,1
14,512,2,4,1,2
28,479,5,1,1,4
24,100,42,2,1,3
48,429,2,6,0,1
18,493,1,3,0,4
30,486,1,2,1,4
51,398,12,2,0,3
63,321,21,2,1,1
37,460,3,5,0,4
60,459,20,7,1,4
46,440,16,3,1,1
30,265,27,2,1,3
60,134,56,2,0,4
54,322,1,6,1,2
7,43,225,2,1,3
49,413,12,6,0,2
2,302,14,2,1,2
13,242,13,4,0,1
41,162,23,5,0,3
51,116,84,2,0,1
48,105,20,1,1,4
10,31,237,5,1,4
60,150,1,5,0,4
59,129,69,1,0,3
58,169,22,7,0,1
49,512,7,4,1,1
25,378,21,3,0,4
62,274,2,2,0,1
32,34,187,5,0,2
27,310,5,3,1,2
25,284,12,6,1,4
42,331,17,6,0,1
3,432,7,7,1,2
28,99,86,1,0,2
46,339,9,3,0,3
6,36,173,6,0,3
64,94,96,2,1,4
54,273,16,1,0,4
13,472,13,2,1,4
16,82,116,3,0,3
7,464,1,1,0,3
3,157,53,3,1,3
38,222,20,2,1,2
18,485,19,3,0,3
61,9,59,7,1,2
59,312,12,3,1,4
22,295,15,2,0,3
51,505,7,3,1,4
20,195,28,1,0,3
20,512,8,6,0,1
53,88,17,6,0,2
27,162,40,7,1,4
55,28,295,1,1,2
2,276,20,1,0,2
52,442,11,7,0,2
23,473,5,5,1,1
13,88,84,1,1,1
5,88,22,2,0,4
51,280,4,4,0,4
25,473,18,2,0,3
5,444,15,4,0,1
45,237,23,3,0,3
10,126,13,3,1,2
45,161,52,2,1,1
46,171,1,4,0,1
53,346,25,1,1,3
27,402,4,3,0,4
36,187,44,6,0,1
32,121,6,3,1,2
29,105,1,7,1,1
15,100,37,4,1,3
14,104,63,7,1,2
45,359,25,4,1,1
19,493,16,7,1,1
21,430,2,1,0,4
36,474,17,7,1,1
5,252,34,2,0,2
30,124,17,5,1,4
15,382,17,7,0,1
35,338,12,2,0,1
4,156,54,3,0,2
58,500,12,3,0,4
34,85,80,3,0,1
26,311,10,3,1,2
25,6,261,1,0,2
20,4,1935,4,0,3
54,158,11,1,1,3
41,468,17,7,1,4
54,466,17,3,1,2
32,183,28,6,0,2
3,110,83,3,0,1
42,370,23,6,1,2
8,429,6,6,0,2
54,187,18,6,0,4
7,3,2559,2,1,3
11,140,37,7,1,1
21,113,46,7,1,2
47,180,18,6,0,4
34,482,3,5,1,2
11,455,3,4,1,1
49,36,47,6,0,4
63,176,10,5,0,2
40,222,10,2,0,3
12,234,33,7,0,2
56,211,42,4,0,3
32,377,16,4,1,4
20,135,10,4,1,1
46,7,909,3,0,3
60,489,4,4,1,1
47,464,8,1,1,4
21,409,18,1,1,3
15,16,541,2,0,4
32,380,23,6,1,1
49,500,11,3,1,2
63,40,64,1,0,2
54,177,7,1,0,4
50,34,256,2,0,2
3,206,5,4,0,1
27,87,105,2,0,3
4,244,23,5,1,4
3,319,10,2,1,2
10,355,18,6,1,1
55,75,36,1,0,4
28,497,13,3,1,2
48,286,29,4,0,3
53,233,30,4,0,2
6,54,39,2,0,2
10,232,38,2,1,2
51,250,20,3,0,4
19,62,136,6,1,1
48,494,15,4,0,4
35,47,24,4,0,2
44,433,4,4,1,4
44,257,12,1,1,4
33,145,31,3,1,2
43,485,6,1,1,1
9,256,23,6,1,2
46,39,38,7,1,1
30,448,13,7,1,3
34,7,823,7,0,1
13,424,21,3,1,2
38,93,54,6,1,3
7,472,18,1,0,4
41,458,17,2,0,4
48,177,20,5,0,3
61,272,35,3,1,2
54,379,4,2,0,4
40,177,45,7,0,3
22,163,1,4,0,1
62,359,14,3,0,4
20,322,21,2,0,3
61,330,19,6,1,3
32,282,8,4,0,1
19,22,247,5,0,2
52,131,15,7,0,2
23,362,19,1,1,2
50,64,42,7,0,3
40,93,30,6,0,4
4,446,6,4,1,1
55,111,80,2,0,4
11,148,30,5,1,4
59,467,12,4,1,1
9,26,331,1,0,1
64,316,17,3,1,3
61,414,15,5,1,2
17,197,32,2,1,3
50,12,453,5,0,1
51,206,28,7,1,1
33,444,2,2,1,3
50,129,22,4,1,4
43,425,20,1,0,3
45,485,2,6,0,3
36,498,10,3,1,1
51,91,79,2,0,2
3,219,10,4,0,3
22,506,9,1,1,1
60,34,186,3,1,3
62,56,9,5,1,2
51,57,149,3,1,1
16,417,13,6,1,2
27,388,20,1,0,3
4,34,207,1,1,2
35,13,142,1,0,3
53,82,56,1,0,2
52,71,18,5,1,4
6,218,6,3,1,4
21,150,64,7,1,2
32,183,35,4,0,4
33,3,1669,1,1,2
22,400,11,6,0,3
12,222,2,6,1,1
39,198,17,2,1,3
23,175,41,5,0,4
58,314,9,5,1,3
61,112,61,1,1,4
33,355,8,6,1,4
46,99,78,1,1,4
12,15,520,2,1,1
16,73,26,4,0,3
14,42,114,6,1,3
12,484,5,2,1,1
61,374,2,7,1,2
54,496,1,3,1,4
59,505,9,3,0,4
39,344,12,4,1,2
49,299,18,2,1,4
1,116,33,6,1,4
43,403,5,6,1,2
11,126,43,7,0,3
44,263,9,5,0,4
28,294,2,1,1,1
33,57,98,1,0,1
43,441,10,4,1,3
5,14,418,6,1,3
31,322,5,3,0,4
48,89,46,1,1,4
59,147,23,1,1,3
2,17,535,6,1,3
16,124,21,1,0,4
23,495,11,7,0,3
34,168,46,3,0,4
27,71,43,4,1,4
24,147,29,3,1,3
8,415,4,5,0,3
21,67,41,7,0,1
26,86,111,7,1,2
10,136,71,3,0,3
54,480,14,3,0,3
48,70,130,7,1,1
44,311,25,7,0,2
46,485,10,1,0,3
59,118,47,4,1,3
32,60,29,2,1,2
35,487,4,5,0,3
15,216,18,4,1,4
15,114,19,7,0,3
60,66,120,1,0,2
23,496,3,4,0,3
15,274,28,5,0,4
32,427,4,2,1,3
9,103,54,2,1,1
10,429,10,7,0,4
59,209,29,7,1,2
50,362,9,6,0,1
63,2,2538,1,0,2
25,371,19,1,0,4
13,364,18,2,1,4
12,68,100,5,0,4
1,301,20,5,1,1
17,185,36,1,0,3
25,33,245,5,0,1
15,230,27,7,1,3
31,234,40,5,0,1
24,478,12,6,1,1
60,430,17,7,0,4
62,49,137,2,1,2
15,318,9,1,1,1
3,506,13,4,0,1
36,468,9,4,1,3
37,105,65,4,1,4
19,342,26,1,0,4
28,489,3,3,0,1
41,489,13,4,0,4
46,338,27,5,0,1
1,248,31,2,0,4
16,189,6,5,0,4
34,221,29,7,1,1
42,379,18,2,0,2
15,416,13,1,1,1
2,238,1,7,0,2
49,404,19,3,1,4
50,281,20,4,1,3
7,300,29,4,0,2
14,232,25,6,1,1
29,239,32,3,0,2
10,213,44,4,0,1
27,98,75,1,0,2
46,398,15,4,1,3
5,164,40,1,1,3
37,37,113,1,1,1
8,453,1,7,1,4
9,69,115,5,0,4
49,152,12,2,1,2
56,418,16,2,1,3
48,266,15,4,1,3
1,373,14,5,0,4
17,123,14,2,0,4
52,102,68,5,0,3
47,352,16,4,0,3
16,362,14,5,0,1
24,365,11,3,1,2
31,159,12,6,0,4
5,90,30,3,1,1
2,469,16,2,1,3
61,166,17,5,1,1
38,166,42,6,1,1
5,135,57,4,1,3
20,449,2,2,0,4
32,265,9,6,0,3
13,444,15,1,0,2
5,376,3,3,1,3
57,163,8,7,0,1
22,359,8,2,1,1
30,207,10,2,0,1
63,365,21,3,1,4
23,351,16,2,0,3
49,512,8,3,0,1
19,502,11,3,1,2
22,480,3,4,1,3
13,192,36,7,1,3
26,261,4,4,1,1
63,424,19,1,0,2
41,83,114,1,1,4
13,278,27,6,1,1
12,142,49,3,1,1
22,419,16,3,0,4
57,287,16,5,0,3
40,291,22,3,0,4
31,105,31,1,1,3
52,372,5,7,1,3
2,231,19,2,0,3
10,27,183,3,0,3
14,119,21,3,1,1
23,404,18,5,1,3
33,252,18,5,1,2
12,207,34,7,1,1
63,469,5,7,1,3
44,439,6,2,1,2
20,402,18,2,0,2
59,91,91,6,1,2
47,460,18,4,0,1
62,499,5,4,0,1
21,99,9,6,0,4
54,317,15,1,1,2
11,468,4,7,1,4
44,391,23,7,0,1
36,480,1,5,0,1
25,429,12,4,1,2
59,285,25,6,1,1
54,479,4,3,1,2
21,485,4,5,1,2
18,493,5,3,1,1
10,64,24,5,1,3
17,278,12,4,1,2
40,342,25,4,1,1
58,112,21,5,1,3
22,351,21,6,1,1
55,478,5,6,0,2
40,223,38,2,1,4
4,219,29,7,0,2
9,113,78,3,1,1
47,31,36,1,0,1
2,209,42,1,0,1
63,460,1,6,0,1
10,430,12,5,0,1
34,63,139,4,1,1
35,312,12,3,0,1
22,450,1,5,1,3
7,34,60,7,0,3
52,59,34,1,0,2
62,16,130,6,1,2
60,383,15,3,1,4
25,455,8,7,0,2
62,471,1,6,1,2
47,123,10,5,0,1
41,343,6,6,0,2
36,229,39,6,1,2
49,220,30,1,1,1
24,352,22,5,0,4
4,388,15,5,1,1
4,441,12,5,1,3
62,488,19,4,0,2
26,146,46,6,0,3
39,413,1,3,0,4
4,304,1,4,0,4
56,399,24,6,0,4
11,134,55,7,1,4
27,1,9555,1,1,4
19,372,17,3,1,1
12,374,18,6,0,1
59,319,26,1,1,3
5,412,3,7,1,1
60,166,31,4,0,3
51,225,34,3,1,1
33,262,30,3,0,1
49,435,1,4,1,3
30,166,36,5,1,1
41,352,27,5,1,1
20,27,29,4,1,4
53,384,20,5,1,2
44,381,13,2,1,3
50,63,38,6,0,2
11,200,43,5,0,4
25,425,2,5,1,4
10,271,21,4,1,3
10,126,53,2,1,2
41,141,3,5,1,4
9,263,1,3,0,2
15,208,11,7,0,4
2,79,110,1,1,3
9,86,115,4,1,3
39,327,14,7,1,2
49,53,133,5,0,3
7,53,9,4,1,3
54,375,8,1,1,2
8,60,25,2,1,1
19,344,13,3,0,3
42,454,14,1,1,3
17,172,54,3,1,2
61,198,42,5,0,3
24,409,11,5,1,1
52,403,8,6,1,1
40,504,3,2,1,2
59,303,29,1,0,1
33,334,16,4,0,2
60,198,44,2,0,1
58,205,34,6,0,3
42,337,28,4,1,4
64,456,8,4,1,3
14,82,49,6,1,1
43,111,84,3,1,3
12,420,22,6,1,3
51,25,65,6,0,2
24,273,34,6,0,4
63,402,17,1,1,4
44,142,66,1,1,2
4,30,325,3,0,2
15,115,8,7,0,2
30,463,18,1,0,2
3,411,8,1,0,4
60,350,3,2,1,4
7,257,7,7,1,4
5,6,434,5,1,3
57,112,4,7,0,4
41,211,15,5,1,1
28,419,22,7,1,4
51,61,79,6,0,3
40,485,8,4,0,2
54,299,8,2,0,2
34,498,7,6,0,3
27,163,53,2,0,2
29,147,50,2,0,1
16,81,18,5,0,4
13,143,9,5,1,2
26,313,10,2,0,3
3,139,2,3,1,1
5,376,8,1,1,1
5,264,29,5,0,4
43,449,5,4,0,2
46,289,4,1,0,4
10,90,6,7,0,2
42,451,12,7,1,4
34,389,15,1,0,4
7,382,22,3,1,1
28,442,12,2,0,2
63,345,18,4,1,3
18,25,85,1,1,1
5,458,2,2,1,1
31,425,10,7,0,3
2,86,28,5,1,2
36,411,20,3,0,2
9,412,19,4,0,1
37,184,40,1,1,2
29,39,159,6,0,1
53,425,22,7,0,1
1,482,8,2,1,4
3,462,13,7,0,2
47,234,21,2,1,1
18,1,4898,1,0,3
43,247,30,7,0,3
30,435,1,5,0,1
11,326,25,4,1,2
48,383,16,4,0,4
10,239,1,2,0,4
39,412,16,1,1,1
64,414,4,2,0,2
9,351,22,4,1,2
22,232,13,5,1,2
64,167,31,2,0,1
59,287,14,2,0,4
7,499,2,1,1,4
48,87,7,5,0,1
20,293,1,5,1,4
41,210,14,1,1,4
27,374,19,7,0,4
20,197,47,4,0,3
48,92,11,3,0,2
46,464,13,3,0,2
51,245,2,7,1,2
28,279,17,4,1,4
39,179,20,5,1,4
51,210,13,6,0,1
60,406,2,4,1,3
29,446,19,5,0,3
64,469,16,4,1,4
18,140,38,7,1,3
54,97,42,4,1,1
39,157,43,6,1,1
50,162,40,2,0,1
8,238,13,2,0,2
48,209,8,5,1,3
14,132,13,1,1,3
10,244,13,3,0,2
61,168,21,7,1,4
58,122,32,1,1,2
1,487,19,7,1,4
40,170,30,3,1,4
17,320,29,7,1,1
11,398,23,3,1,4
14,333,19,2,0,1
27,316,23,7,1,4
16,460,10,3,1,1
39,58,118,4,1,2
57,197,8,7,1,1
46,357,23,7,1,1
2,300,23,7,1,2
33,413,22,5,1,3
33,270,9,7,0,3
9,270,17,6,1,4
26,4,2056,2,1,2
32,96,82,1,0,3
57,232,28,6,0,4
28,194,19,1,1,2
60,191,49,3,0,2
35,446,4,1,0,4
21,257,34,3,0,2
56,59,92,6,0,3
16,488,13,1,0,4
11,402,21,7,0,4
1,176,1,6,1,2
53,67,19,6,0,1
3,108,88,6,0,2
51,344,11,5,1,2
48,128,50,7,0,4
60,63,144,6,0,3
31,305,2,1,0,1
2,61,18,7,1,1
55,144,49,4,0,4
8,139,18,5,1,2
33,277,14,1,0,1
49,442,15,2,0,2
12,179,28,6,1,4
34,402,17,5,1,4
53,13,224,5,0,1
