layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,8,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,1.4569759368896484,1.3554096221923828,1.3805627822875977,1.389908790588379,1.3858377933502197,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,55,,96,,2.0,0.0,,,3.0,0.4591941833496094,0.37026405334472656,0.42068958282470703,0.41229724884033203,0.41168928146362305,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,8,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,1.394510269165039,1.2607574462890625,1.3184547424316406,1.3255119323730469,1.324981451034546,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,8,27,,256,,2.0,0.0,,,3.0,0.34427642822265625,0.30541419982910156,0.3129243850708008,0.31714439392089844,0.3152191638946533,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,0.7610321044921875,0.6659030914306641,0.727534294128418,0.7200717926025391,0.7217228412628174,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,0.9675025939941406,0.8647441864013672,0.9362697601318359,0.9210824966430664,0.9223222732543945,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,8,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,0.7662773132324219,0.6365776062011719,0.6778240203857422,0.6872415542602539,0.6836950778961182,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,8,13,,256,,2.0,0.0,,,3.0,0.2689361572265625,0.18215179443359375,0.23615360260009766,0.23715496063232422,0.24005770683288574,,,
9,dense_1,<class 'keras.layers.core.Dense'>,8,1,,9216,4096.0,,,1.0,,,0.8852481842041016,0.7469654083251953,0.8172988891601562,0.8091926574707031,0.8074641227722168,,,
10,dense_2,<class 'keras.layers.core.Dense'>,8,1,,4096,4096.0,,,1.0,,,0.46539306640625,0.392913818359375,0.42259693145751953,0.42488574981689453,0.42381882667541504,,,
11,dense_3,<class 'keras.layers.core.Dense'>,8,1,,4096,1000.0,,,1.0,,,0.3197193145751953,0.26702880859375,0.28312206268310547,0.286865234375,0.28523802757263184,,,
