layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,64,299,3.0,3,32.0,2.0,0.0,1.0,0.0,,17.475128173828125,17.36283302307129,17.464756965637207,17.433643341064453,17.43730902671814,,,
2,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,64,149,3.0,32,32.0,1.0,0.0,1.0,0.0,,19.90056037902832,19.80876922607422,19.84429359436035,19.849467277526855,19.848167896270752,,,
3,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,64,147,3.0,32,64.0,1.0,1.0,1.0,0.0,,37.39428520202637,37.33634948730469,37.351131439208984,37.355756759643555,37.35336661338806,,,
4,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,64,147,,64,,2.0,0.0,,,3.0,8.019447326660156,7.933378219604492,7.987737655639648,7.985186576843262,7.987380027770996,,,
5,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,64,73,1.0,64,80.0,1.0,0.0,1.0,0.0,,11.269569396972656,11.162281036376953,11.222004890441895,11.219048500061035,11.219829320907593,,,
6,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,64,73,3.0,80,192.0,1.0,0.0,1.0,0.0,,29.237031936645508,29.109477996826172,29.162049293518066,29.1611909866333,29.158174991607666,,,
7,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,64,71,,192,,2.0,0.0,,,3.0,5.651950836181641,5.558252334594727,5.628108978271484,5.6189775466918945,5.622446537017822,,,
8,conv2d_9,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,192,64.0,1.0,1.0,1.0,0.0,,2.604246139526367,2.588510513305664,2.594590187072754,2.5945663452148438,2.594113349914551,,,
9,conv2d_7,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,192,48.0,1.0,1.0,0.0,0.0,,1.7173290252685547,1.672983169555664,1.6901493072509766,1.6913890838623047,1.6904473304748535,,,
10,conv2d_10,<class 'keras.layers.convolutional.Conv2D'>,64,35,3.0,64,96.0,1.0,1.0,1.0,0.0,,3.9300918579101562,3.9014816284179688,3.9120912551879883,3.9136409759521484,3.91310453414917,,,
11,conv2d_6,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,192,64.0,1.0,1.0,0.0,0.0,,2.106904983520508,2.049684524536133,2.056121826171875,2.0650148391723633,2.061694860458374,,,
12,conv2d_8,<class 'keras.layers.convolutional.Conv2D'>,64,35,5.0,48,64.0,1.0,1.0,0.0,0.0,,2.8395652770996094,2.7861595153808594,2.8076171875,2.8086423873901367,2.8075873851776123,,,
13,conv2d_11,<class 'keras.layers.convolutional.Conv2D'>,64,35,3.0,96,96.0,1.0,1.0,0.0,0.0,,4.011631011962891,3.9298534393310547,3.9920806884765625,3.983306884765625,3.986448049545288,,,
14,conv2d_12,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,192,32.0,1.0,1.0,1.0,0.0,,1.7104148864746094,1.65557861328125,1.6618967056274414,1.674962043762207,1.6729533672332764,,,
15,conv2d_16,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,256,64.0,1.0,1.0,1.0,0.0,,2.795696258544922,2.783536911010742,2.788662910461426,2.7895212173461914,2.7894973754882812,,,
16,conv2d_14,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,256,48.0,1.0,1.0,0.0,0.0,,1.7976760864257812,1.7132759094238281,1.740574836730957,1.7504215240478516,1.7491579055786133,,,
17,conv2d_17,<class 'keras.layers.convolutional.Conv2D'>,64,35,3.0,64,96.0,1.0,1.0,1.0,0.0,,3.9153099060058594,3.8862228393554688,3.908991813659668,3.907322883605957,3.9089620113372803,,,
18,conv2d_13,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,256,64.0,1.0,1.0,0.0,0.0,,2.1767616271972656,2.1104812622070312,2.1430253982543945,2.1434783935546875,2.1434426307678223,,,
19,conv2d_15,<class 'keras.layers.convolutional.Conv2D'>,64,35,5.0,48,64.0,1.0,1.0,0.0,0.0,,2.851247787475586,2.771615982055664,2.815127372741699,2.8098583221435547,2.809464931488037,,,
20,conv2d_18,<class 'keras.layers.convolutional.Conv2D'>,64,35,3.0,96,96.0,1.0,1.0,0.0,0.0,,4.011869430541992,3.869295120239258,3.925919532775879,3.935122489929199,3.9337575435638428,,,
21,conv2d_19,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,256,64.0,1.0,1.0,1.0,0.0,,2.798318862915039,2.7618408203125,2.788662910461426,2.7837276458740234,2.784639596939087,,,
22,conv2d_23,<class 'keras.layers.convolutional.Conv2D'>,64,35,1.0,288,64.0,1.0,1.0,1.0,0.0,,2.901315689086914,2.848386764526367,2.878546714782715,2.8763532638549805,2.8767287731170654,,,
