layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,16,230,7.0,3,64.0,2.0,0.0,1.0,1.0,,5.767107009887695,5.689859390258789,5.726933479309082,5.727815628051758,5.727648735046387,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,16,114,,64,,2.0,0.0,,,3.0,1.4355182647705078,1.3566017150878906,1.4189481735229492,1.4085054397583008,1.4116168022155762,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,64,64.0,1.0,0.0,1.0,1.0,,1.6777515411376953,1.5587806701660156,1.6109943389892578,1.6130685806274414,1.611769199371338,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.7938613891601562,1.7507076263427734,1.788020133972168,1.7841339111328125,1.7870962619781494,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,64,256.0,1.0,0.0,0.0,1.0,,5.110263824462891,5.039215087890625,5.07199764251709,5.070233345031738,5.069106817245483,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,5.445003509521484,5.317211151123047,5.384325981140137,5.384230613708496,5.385011434555054,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,1.9960403442382812,1.8951892852783203,1.9793510437011719,1.967310905456543,1.9727349281311035,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.8591880798339844,1.8048286437988281,1.845717430114746,1.8405675888061523,1.8427073955535889,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,5.464315414428711,5.401134490966797,5.445599555969238,5.434083938598633,5.4344236850738525,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,1.9602775573730469,1.9524097442626953,1.956939697265625,1.9566535949707031,1.9567310810089111,,,
11,res2c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,1.8303394317626953,1.7828941345214844,1.7910003662109375,1.7947673797607422,1.7918050289154053,,,
12,res2c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,5.441188812255859,5.364418029785156,5.390048027038574,5.400180816650391,5.399525165557861,,,
13,res3a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,256,128.0,2.0,0.0,1.0,1.0,,1.283884048461914,1.2204647064208984,1.2340545654296875,1.2439250946044922,1.2418627738952637,,,
14,res3a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,1.1012554168701172,1.0750293731689453,1.0846853256225586,1.086115837097168,1.0856091976165771,,,
15,res3a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,128,512.0,1.0,0.0,0.0,1.0,,2.7856826782226562,2.756357192993164,2.7681589126586914,2.768540382385254,2.76792049407959,,,
16,res3a_branch1,<class 'keras.layers.convolutional.Conv2D'>,16,56,1.0,256,512.0,2.0,0.0,1.0,1.0,,3.4570693969726562,3.3516883850097656,3.408670425415039,3.4044742584228516,3.4044981002807617,,,
17,res3b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,1.2295246124267578,1.1341571807861328,1.1824369430541992,1.1885881423950195,1.190274953842163,,,
18,res3b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,1.1820793151855469,1.110076904296875,1.1172294616699219,1.1292219161987305,1.1250078678131104,,,
19,res3b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,2.9273033142089844,2.9048919677734375,2.9217004776000977,2.9198646545410156,2.920806407928467,,,
20,res3c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,1.2238025665283203,1.1279582977294922,1.1993646621704102,1.1950492858886719,1.1998414993286133,,,
21,res3c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,16,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,1.1942386627197266,1.116037368774414,1.157522201538086,1.151871681213379,1.151055097579956,,,
22,res3c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,16,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,2.9458999633789062,2.8994083404541016,2.9163360595703125,2.9195785522460938,2.918809652328491,,,
