layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,37.932634353637695,37.816762924194336,37.85812854766846,37.868380546569824,37.866801023483276,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,47.74641990661621,47.62864112854004,47.696828842163086,47.693443298339844,47.69492149353027,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,224,,64,,2.0,0.0,,,2.0,13.882875442504883,13.79847526550293,13.841509819030762,13.834834098815918,13.833373785018921,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,22.24874496459961,22.141218185424805,22.18484878540039,22.19221591949463,22.191524505615234,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,27.368783950805664,25.12192726135254,25.226354598999023,25.44713020324707,25.247573852539062,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,112,,128,,2.0,0.0,,,2.0,6.190299987792969,6.112098693847656,6.133913993835449,6.146836280822754,6.145745515823364,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,12.724876403808594,12.605667114257812,12.62056827545166,12.645912170410156,12.641072273254395,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,14.914989471435547,14.564990997314453,14.605522155761719,14.669108390808105,14.651387929916382,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,14.61172103881836,14.523506164550781,14.562606811523438,14.563345909118652,14.562278985977173,,,
10,block3_conv4,<class 'keras.layers.convolutional.Conv2D'>,32,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,14.634847640991211,14.565706253051758,14.616847038269043,14.610576629638672,14.613151550292969,,,
11,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,56,,256,,2.0,0.0,,,2.0,3.481149673461914,3.3843517303466797,3.4378767013549805,3.434872627258301,3.4354031085968018,,,
12,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,7.324934005737305,7.13038444519043,7.260918617248535,7.23421573638916,7.235854864120483,,,
13,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,9.508371353149414,9.384870529174805,9.422063827514648,9.42831039428711,9.42373275756836,,,
14,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,9.178876876831055,9.024381637573242,9.131669998168945,9.123754501342773,9.12928581237793,,,
15,block4_conv4,<class 'keras.layers.convolutional.Conv2D'>,32,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,9.115457534790039,8.998870849609375,9.044170379638672,9.044671058654785,9.041547775268555,,,
16,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,28,,512,,2.0,0.0,,,2.0,1.7368793487548828,1.6481876373291016,1.682877540588379,1.6824960708618164,1.6799867153167725,,,
17,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,2.9616355895996094,2.847433090209961,2.8967857360839844,2.9032468795776367,2.9029250144958496,,,
18,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,3.031492233276367,2.839803695678711,2.9186010360717773,2.924323081970215,2.921491861343384,,,
19,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,2.8765201568603516,2.841472625732422,2.8481483459472656,2.8543472290039062,2.853184938430786,,,
20,block5_conv4,<class 'keras.layers.convolutional.Conv2D'>,32,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,2.9609203338623047,2.8722286224365234,2.933621406555176,2.9227733612060547,2.924323081970215,,,
21,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,32,14,,512,,2.0,0.0,,,2.0,0.6504058837890625,0.5488395690917969,0.6164312362670898,0.6156682968139648,0.6196796894073486,,,
22,fc1,<class 'keras.layers.core.Dense'>,32,1,,25088,4096.0,,,1.0,,,1.4903545379638672,1.3756752014160156,1.4371871948242188,1.4358997344970703,1.4366209506988525,,,
23,fc2,<class 'keras.layers.core.Dense'>,32,1,,4096,4096.0,,,1.0,,,0.5021095275878906,0.3654956817626953,0.43487548828125,0.43985843658447266,0.4413723945617676,,,
24,predictions,<class 'keras.layers.core.Dense'>,32,1,,4096,1000.0,,,1.0,,,0.4372596740722656,0.2486705780029297,0.3412961959838867,0.3436565399169922,0.3438293933868408,,,
