layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,2,227,11.0,3,96.0,4.0,0.0,0.0,1.0,,4.214286804199219,4.11534309387207,4.152178764343262,4.1527509689331055,4.149734973907471,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,2,55,,96,,2.0,0.0,,,3.0,0.5340576171875,0.4315376281738281,0.4711151123046875,0.47719478607177734,0.47579407691955566,,,
3,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,2,27,5.0,96,256.0,1.0,1.0,0.0,1.0,,13.084888458251953,12.810707092285156,12.935757637023926,12.936639785766602,12.933850288391113,,,
4,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,2,27,,256,,2.0,0.0,,,3.0,0.4048347473144531,0.2262592315673828,0.2721548080444336,0.2857685089111328,0.2783238887786865,,,
5,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,2,13,3.0,256,384.0,1.0,1.0,0.0,1.0,,4.708766937255859,4.481077194213867,4.633069038391113,4.6199798583984375,4.626244306564331,,,
6,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,2,13,3.0,384,384.0,1.0,1.0,0.0,1.0,,6.86955451965332,6.590366363525391,6.711483001708984,6.7317962646484375,6.732255220413208,,,
7,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,2,13,3.0,384,256.0,1.0,1.0,0.0,1.0,,4.759788513183594,4.513263702392578,4.694938659667969,4.686546325683594,4.699051380157471,,,
8,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,2,13,,256,,2.0,0.0,,,3.0,0.2257823944091797,0.14662742614746094,0.17523765563964844,0.1815319061279297,0.18036365509033203,,,
9,dense_1,<class 'keras.layers.core.Dense'>,2,1,,9216,4096.0,,,1.0,,,14.823436737060547,14.56308364868164,14.750480651855469,14.713549613952637,14.718621969223022,,,
10,dense_2,<class 'keras.layers.core.Dense'>,2,1,,4096,4096.0,,,1.0,,,6.911993026733398,6.738185882568359,6.863236427307129,6.852102279663086,6.858855485916138,,,
11,dense_3,<class 'keras.layers.core.Dense'>,2,1,,4096,1000.0,,,1.0,,,1.978158950805664,1.8682479858398438,1.9165277481079102,1.9205808639526367,1.9199252128601074,,,
