layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,8,299,3.0,3,32.0,2.0,0.0,1.0,0.0,,16.614913940429688,16.268253326416016,16.483783721923828,16.483712196350098,16.49424433708191,,,
2,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,8,149,3.0,32,32.0,1.0,0.0,1.0,0.0,,36.62824630737305,31.978607177734375,32.299160957336426,33.71379375457764,33.56638550758362,,,
3,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,8,147,3.0,32,64.0,1.0,1.0,1.0,0.0,,64.34822082519531,55.40800094604492,64.22221660614014,61.65347099304199,62.09731101989746,,,
4,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,147,,64,,2.0,0.0,,,3.0,6.42704963684082,6.2351226806640625,6.319522857666016,6.335783004760742,6.336957216262817,,,
5,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,8,73,1.0,64,80.0,1.0,0.0,1.0,0.0,,5.775928497314453,5.512237548828125,5.600094795227051,5.598330497741699,5.586892366409302,,,
6,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,8,73,3.0,80,192.0,1.0,0.0,1.0,0.0,,79.80227470397949,78.47738265991211,78.69601249694824,78.81205081939697,78.73010635375977,,,
7,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,8,71,,192,,2.0,0.0,,,3.0,4.581451416015625,4.348993301391602,4.491209983825684,4.487085342407227,4.49255108833313,,,
8,conv2d_9,<class 'keras.layers.convolutional.Conv2D'>,8,35,1.0,192,64.0,1.0,1.0,1.0,0.0,,2.2423267364501953,2.148866653442383,2.185225486755371,2.186155319213867,2.1837949752807617,,,
9,conv2d_7,<class 'keras.layers.convolutional.Conv2D'>,8,35,1.0,192,48.0,1.0,1.0,0.0,0.0,,2.730846405029297,1.5752315521240234,1.6933679580688477,1.7889022827148438,1.6978681087493896,,,
10,conv2d_10,<class 'keras.layers.convolutional.Conv2D'>,8,35,3.0,64,96.0,1.0,1.0,1.0,0.0,,8.527278900146484,8.367776870727539,8.467435836791992,8.46414566040039,8.468300104141235,,,
11,conv2d_6,<class 'keras.layers.convolutional.Conv2D'>,8,35,1.0,192,64.0,1.0,1.0,0.0,0.0,,2.213001251220703,2.0394325256347656,2.097964286804199,2.1050453186035156,2.099752426147461,,,
12,conv2d_8,<class 'keras.layers.convolutional.Conv2D'>,8,35,5.0,48,64.0,1.0,1.0,0.0,0.0,,11.73090934753418,11.546611785888672,11.66999340057373,11.649870872497559,11.652648448944092,,,
13,conv2d_11,<class 'keras.layers.convolutional.Conv2D'>,8,35,3.0,96,96.0,1.0,1.0,0.0,0.0,,12.156963348388672,11.737585067749023,11.89422607421875,11.90032958984375,11.888593435287476,,,
14,conv2d_12,<class 'keras.layers.convolutional.Conv2D'>,8,35,1.0,192,32.0,1.0,1.0,1.0,0.0,,1.2843608856201172,1.2226104736328125,1.256704330444336,1.254725456237793,1.255035400390625,,,
