layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,128,230,7.0,3,64.0,2.0,0.0,1.0,1.0,,438.5359287261963,437.64472007751465,438.0728006362915,438.1415605545044,438.1543695926666,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,128,114,,64,,2.0,0.0,,,3.0,63.07530403137207,62.563419342041016,62.62493133544922,62.68589496612549,62.652528285980225,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,64,64.0,1.0,0.0,1.0,1.0,,47.80912399291992,47.464609146118164,47.64413833618164,47.629523277282715,47.62768745422363,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,245.70417404174805,244.50230598449707,245.28205394744873,245.1627016067505,245.17756700515747,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,64,256.0,1.0,0.0,0.0,1.0,,182.5249195098877,178.15685272216797,181.52785301208496,181.20408058166504,181.41987919807434,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,183.0744743347168,179.5039176940918,182.03532695770264,181.80816173553467,181.93790316581726,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,109.0238094329834,108.5212230682373,108.75296592712402,108.76407623291016,108.76196622848511,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,246.2611198425293,245.00298500061035,245.70584297180176,245.67484855651855,245.68554759025574,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,182.77812004089355,180.21106719970703,181.49840831756592,181.52968883514404,181.53846263885498,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,256,64.0,1.0,0.0,1.0,1.0,,108.84833335876465,108.50811004638672,108.69216918945312,108.70676040649414,108.71389508247375,,,
11,res2c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,56,3.0,64,64.0,1.0,1.0,1.0,1.0,,246.76942825317383,244.27390098571777,245.48780918121338,245.42059898376465,245.39533257484436,,,
12,res2c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,64,256.0,1.0,0.0,1.0,1.0,,182.54423141479492,180.1140308380127,181.65719509124756,181.5807342529297,181.64363503456116,,,
13,res3a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,256,128.0,2.0,0.0,1.0,1.0,,50.14991760253906,49.143075942993164,49.46708679199219,49.51825141906738,49.4861900806427,,,
14,res3a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,217.37384796142578,203.51719856262207,209.14196968078613,209.35993194580078,209.088534116745,,,
15,res3a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,128,512.0,1.0,0.0,0.0,1.0,,129.96888160705566,128.7095546722412,129.30142879486084,129.39276695251465,129.4061541557312,,,
16,res3a_branch1,<class 'keras.layers.convolutional.Conv2D'>,128,56,1.0,256,512.0,2.0,0.0,1.0,1.0,,217.09609031677246,214.04266357421875,216.444730758667,216.06698036193848,216.1913812160492,,,
17,res3b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,97.54490852355957,96.53592109680176,97.21088409423828,97.12295532226562,97.14359045028687,,,
18,res3b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,214.0336036682129,203.51457595825195,204.13649082183838,206.87894821166992,206.4051628112793,,,
19,res3b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,132.22098350524902,130.48624992370605,131.41584396362305,131.34512901306152,131.34300708770752,,,
20,res3c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,98.04201126098633,96.54784202575684,97.39911556243896,97.29714393615723,97.29769825935364,,,
21,res3c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,214.29181098937988,203.57775688171387,204.6205997467041,208.11388492584229,207.90866017341614,,,
22,res3c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,131.86240196228027,130.55706024169922,131.16025924682617,131.14140033721924,131.1243176460266,,,
23,res3d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,512,128.0,1.0,0.0,1.0,1.0,,98.17695617675781,96.74811363220215,97.46932983398438,97.51198291778564,97.52434492111206,,,
24,res3d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,128,28,3.0,128,128.0,1.0,1.0,1.0,1.0,,214.68663215637207,203.46403121948242,204.12206649780273,205.15992641448975,204.18107509613037,,,
25,res3d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,128,28,1.0,128,512.0,1.0,0.0,1.0,1.0,,132.16328620910645,129.70399856567383,131.5896511077881,131.41026496887207,131.52942061424255,,,
