layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,1,224,3.0,3,64.0,1.0,1.0,0.0,1.0,,7.1849822998046875,5.192995071411133,5.37419319152832,5.859255790710449,5.776822566986084,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,1,224,3.0,64,64.0,1.0,1.0,0.0,1.0,,30.420541763305664,28.453588485717773,28.664350509643555,28.857970237731934,28.713196516036987,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,1,224,,64,,2.0,0.0,,,2.0,2.4938583374023438,2.3376941680908203,2.3717880249023438,2.383255958557129,2.3751258850097656,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,1,112,3.0,64,128.0,1.0,1.0,0.0,1.0,,13.576745986938477,13.322591781616211,13.425588607788086,13.441634178161621,13.43962550163269,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,1,112,3.0,128,128.0,1.0,1.0,0.0,1.0,,26.148080825805664,26.02529525756836,26.06642246246338,26.081228256225586,26.07986330986023,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,1,112,,128,,2.0,0.0,,,2.0,1.1265277862548828,1.0213851928710938,1.1039972305297852,1.0909318923950195,1.0951757431030273,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,1,56,3.0,128,256.0,1.0,1.0,0.0,1.0,,12.951135635375977,12.812614440917969,12.854814529418945,12.861061096191406,12.855857610702515,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,1,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,25.274038314819336,25.045156478881836,25.127291679382324,25.1295804977417,25.122076272964478,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,1,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,25.385141372680664,25.116443634033203,25.240778923034668,25.255465507507324,25.256633758544922,,,
10,block3_conv4,<class 'keras.layers.convolutional.Conv2D'>,1,56,3.0,256,256.0,1.0,1.0,0.0,1.0,,25.321483612060547,25.069236755371094,25.221824645996094,25.206637382507324,25.2094566822052,,,
11,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,1,56,,256,,2.0,0.0,,,2.0,0.5514621734619141,0.4336833953857422,0.47075748443603516,0.48110485076904297,0.4782378673553467,,,
12,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,1,28,3.0,256,512.0,1.0,1.0,0.0,1.0,,13.54217529296875,13.13638687133789,13.262748718261719,13.30578327178955,13.297408819198608,,,
13,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,1,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,27.002573013305664,26.25751495361328,26.498794555664062,26.51846408843994,26.49056911468506,,,
14,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,1,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,26.91817283630371,26.007413864135742,26.424407958984375,26.451945304870605,26.449233293533325,,,
15,block4_conv4,<class 'keras.layers.convolutional.Conv2D'>,1,28,3.0,512,512.0,1.0,1.0,0.0,1.0,,26.734113693237305,25.876522064208984,26.465892791748047,26.439332962036133,26.47283673286438,,,
16,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,1,28,,512,,2.0,0.0,,,2.0,0.24890899658203125,0.22983551025390625,0.23436546325683594,0.23686885833740234,0.23624300956726074,,,
17,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,1,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,7.302045822143555,6.853580474853516,7.089376449584961,7.071852684020996,7.070362567901611,,,
18,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,1,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,7.247209548950195,6.944179534912109,7.072329521179199,7.105159759521484,7.107526063919067,,,
19,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,1,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,7.244110107421875,6.906032562255859,7.115960121154785,7.098698616027832,7.104605436325073,,,
20,block5_conv4,<class 'keras.layers.convolutional.Conv2D'>,1,14,3.0,512,512.0,1.0,1.0,0.0,1.0,,7.354974746704102,6.957054138183594,7.139325141906738,7.133579254150391,7.127970457077026,,,
21,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,1,14,,512,,2.0,0.0,,,2.0,0.21696090698242188,0.12469291687011719,0.16951560974121094,0.1625537872314453,0.16048550605773926,,,
22,fc1,<class 'keras.layers.core.Dense'>,1,1,,25088,4096.0,,,1.0,,,30.781030654907227,30.698060989379883,30.755281448364258,30.749797821044922,30.752360820770264,,,
23,fc2,<class 'keras.layers.core.Dense'>,1,1,,4096,4096.0,,,1.0,,,5.298376083374023,5.266666412353516,5.282402038574219,5.283880233764648,5.284219980239868,,,
24,predictions,<class 'keras.layers.core.Dense'>,1,1,,4096,1000.0,,,1.0,,,1.3566017150878906,1.2936592102050781,1.3175010681152344,1.3161182403564453,1.3138651847839355,,,
