layer,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
1,<class 'keras.layers.convolutional.Conv2D'>,,299,3,3,32,2,0,1,0,,,,,,,
2,<class 'keras.layers.convolutional.Conv2D'>,,149,3,32,32,1,0,1,0,,,,,,,
3,<class 'keras.layers.convolutional.Conv2D'>,,147,3,32,64,1,1,1,0,,,,,,,
4,<class 'keras.layers.pooling.MaxPooling2D'>,,147,,64,,2,0,,,3,,,,,,
5,<class 'keras.layers.convolutional.Conv2D'>,,73,1,64,80,1,0,1,0,,,,,,,
6,<class 'keras.layers.convolutional.Conv2D'>,,73,3,80,192,1,0,1,0,,,,,,,
7,<class 'keras.layers.pooling.MaxPooling2D'>,,71,,192,,2,0,,,3,,,,,,
8,<class 'keras.layers.convolutional.Conv2D'>,,35,1,192,64,1,1,1,0,,,,,,,
9,<class 'keras.layers.convolutional.Conv2D'>,,35,1,192,48,1,1,0,0,,,,,,,
10,<class 'keras.layers.convolutional.Conv2D'>,,35,3,64,96,1,1,1,0,,,,,,,
11,<class 'keras.layers.convolutional.Conv2D'>,,35,1,192,64,1,1,0,0,,,,,,,
12,<class 'keras.layers.convolutional.Conv2D'>,,35,5,48,64,1,1,0,0,,,,,,,
13,<class 'keras.layers.convolutional.Conv2D'>,,35,3,96,96,1,1,0,0,,,,,,,
14,<class 'keras.layers.convolutional.Conv2D'>,,35,1,192,32,1,1,1,0,,,,,,,
15,<class 'keras.layers.convolutional.Conv2D'>,,35,1,256,64,1,1,1,0,,,,,,,
16,<class 'keras.layers.convolutional.Conv2D'>,,35,1,256,48,1,1,0,0,,,,,,,
17,<class 'keras.layers.convolutional.Conv2D'>,,35,3,64,96,1,1,1,0,,,,,,,
18,<class 'keras.layers.convolutional.Conv2D'>,,35,1,256,64,1,1,0,0,,,,,,,
19,<class 'keras.layers.convolutional.Conv2D'>,,35,5,48,64,1,1,0,0,,,,,,,
20,<class 'keras.layers.convolutional.Conv2D'>,,35,3,96,96,1,1,0,0,,,,,,,
21,<class 'keras.layers.convolutional.Conv2D'>,,35,1,256,64,1,1,1,0,,,,,,,
22,<class 'keras.layers.convolutional.Conv2D'>,,35,1,288,64,1,1,1,0,,,,,,,
23,<class 'keras.layers.convolutional.Conv2D'>,,35,1,288,48,1,1,0,0,,,,,,,
24,<class 'keras.layers.convolutional.Conv2D'>,,35,3,64,96,1,1,1,0,,,,,,,
25,<class 'keras.layers.convolutional.Conv2D'>,,35,1,288,64,1,1,0,0,,,,,,,
26,<class 'keras.layers.convolutional.Conv2D'>,,35,5,48,64,1,1,0,0,,,,,,,
27,<class 'keras.layers.convolutional.Conv2D'>,,35,3,96,96,1,1,0,0,,,,,,,
28,<class 'keras.layers.convolutional.Conv2D'>,,35,1,288,64,1,1,1,0,,,,,,,
29,<class 'keras.layers.convolutional.Conv2D'>,,35,1,288,64,1,1,1,0,,,,,,,
30,<class 'keras.layers.convolutional.Conv2D'>,,35,3,64,96,1,1,1,0,,,,,,,
31,<class 'keras.layers.convolutional.Conv2D'>,,35,3,288,384,2,0,0,0,,,,,,,
32,<class 'keras.layers.convolutional.Conv2D'>,,35,3,96,96,2,0,1,0,,,,,,,
33,<class 'keras.layers.pooling.MaxPooling2D'>,,35,,288,,2,0,,,3,,,,,,
34,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,128,1,1,1,0,,,,,,,
35,<class 'keras.layers.convolutional.Conv2D'>,,17,7,128,128,1,1,1,0,,,,,,,
36,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,128,1,1,0,0,,,,,,,
37,<class 'keras.layers.convolutional.Conv2D'>,,17,1,128,128,1,1,1,0,,,,,,,
38,<class 'keras.layers.convolutional.Conv2D'>,,17,1,128,128,1,1,0,0,,,,,,,
39,<class 'keras.layers.convolutional.Conv2D'>,,17,7,128,128,1,1,1,0,,,,,,,
40,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,0,0,,,,,,,
41,<class 'keras.layers.convolutional.Conv2D'>,,17,7,128,192,1,1,0,0,,,,,,,
42,<class 'keras.layers.convolutional.Conv2D'>,,17,1,128,192,1,1,0,0,,,,,,,
43,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,192,1,1,1,0,,,,,,,
44,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,160,1,1,1,0,,,,,,,
45,<class 'keras.layers.convolutional.Conv2D'>,,17,7,160,160,1,1,1,0,,,,,,,
46,<class 'keras.layers.convolutional.Conv2D'>,,17,1,768,160,1,1,0,0,,,,,,,
47,<class 'keras.layers.convolutional.Conv2D'>,,17,1,160,160,1,1,1,0,,,,,,,
48,<class 'keras.layers.convolutional.Conv2D'>,,17,1,160,160,1,1,0,0,,,,,,,
49,<class 'keras.layers.convolutional.Conv2D'>,,17,7,160,160,1,1,1,0,,,,,,,
