layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
1,conv2d_1,<class 'keras.layers.convolutional.Conv2D'>,64,299,3,3,32,2,0,1,0,,,,,,,
2,conv2d_2,<class 'keras.layers.convolutional.Conv2D'>,64,149,3,32,32,1,0,1,0,,,,,,,
3,conv2d_3,<class 'keras.layers.convolutional.Conv2D'>,64,147,3,32,64,1,1,1,0,,,,,,,
4,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,64,147,,64,,2,0,,,3,,,,,,
5,conv2d_4,<class 'keras.layers.convolutional.Conv2D'>,64,73,1,64,80,1,0,1,0,,,,,,,
6,conv2d_5,<class 'keras.layers.convolutional.Conv2D'>,64,73,3,80,192,1,0,1,0,,,,,,,
7,max_pooling2d_2,<class 'keras.layers.pooling.MaxPooling2D'>,64,71,,192,,2,0,,,3,,,,,,
8,conv2d_9,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,192,64,1,1,1,0,,,,,,,
9,conv2d_7,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,192,48,1,1,0,0,,,,,,,
10,conv2d_10,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,64,96,1,1,1,0,,,,,,,
11,conv2d_6,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,192,64,1,1,0,0,,,,,,,
12,conv2d_8,<class 'keras.layers.convolutional.Conv2D'>,64,35,5,48,64,1,1,0,0,,,,,,,
13,conv2d_11,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,96,96,1,1,0,0,,,,,,,
14,conv2d_12,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,192,32,1,1,1,0,,,,,,,
15,conv2d_16,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,256,64,1,1,1,0,,,,,,,
16,conv2d_14,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,256,48,1,1,0,0,,,,,,,
17,conv2d_17,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,64,96,1,1,1,0,,,,,,,
18,conv2d_13,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,256,64,1,1,0,0,,,,,,,
19,conv2d_15,<class 'keras.layers.convolutional.Conv2D'>,64,35,5,48,64,1,1,0,0,,,,,,,
20,conv2d_18,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,96,96,1,1,0,0,,,,,,,
21,conv2d_19,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,256,64,1,1,1,0,,,,,,,
22,conv2d_23,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,288,64,1,1,1,0,,,,,,,
23,conv2d_21,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,288,48,1,1,0,0,,,,,,,
24,conv2d_24,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,64,96,1,1,1,0,,,,,,,
25,conv2d_20,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,288,64,1,1,0,0,,,,,,,
26,conv2d_22,<class 'keras.layers.convolutional.Conv2D'>,64,35,5,48,64,1,1,0,0,,,,,,,
27,conv2d_25,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,96,96,1,1,0,0,,,,,,,
28,conv2d_26,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,288,64,1,1,1,0,,,,,,,
29,conv2d_28,<class 'keras.layers.convolutional.Conv2D'>,64,35,1,288,64,1,1,1,0,,,,,,,
30,conv2d_29,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,64,96,1,1,1,0,,,,,,,
31,conv2d_27,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,288,384,2,0,0,0,,,,,,,
32,conv2d_30,<class 'keras.layers.convolutional.Conv2D'>,64,35,3,96,96,2,0,1,0,,,,,,,
33,max_pooling2d_3,<class 'keras.layers.pooling.MaxPooling2D'>,64,35,,288,,2,0,,,3,,,,,,
34,conv2d_35,<class 'keras.layers.convolutional.Conv2D'>,64,17,1,768,128,1,1,1,0,,,,,,,
