layer,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
1,<class 'keras.layers.convolutional.Conv2D'>,,230,7,3,64,2,0,1,1,,,,,,,
2,<class 'keras.layers.pooling.MaxPooling2D'>,,114,,64,,2,0,,,3,,,,,,
3,<class 'keras.layers.convolutional.Conv2D'>,,56,1,64,64,1,0,1,1,,,,,,,
4,<class 'keras.layers.convolutional.Conv2D'>,,56,3,64,64,1,1,1,1,,,,,,,
5,<class 'keras.layers.convolutional.Conv2D'>,,56,1,64,256,1,0,0,1,,,,,,,
6,<class 'keras.layers.convolutional.Conv2D'>,,56,1,64,256,1,0,1,1,,,,,,,
7,<class 'keras.layers.convolutional.Conv2D'>,,56,1,256,64,1,0,1,1,,,,,,,
8,<class 'keras.layers.convolutional.Conv2D'>,,56,3,64,64,1,1,1,1,,,,,,,
9,<class 'keras.layers.convolutional.Conv2D'>,,56,1,64,256,1,0,1,1,,,,,,,
10,<class 'keras.layers.convolutional.Conv2D'>,,56,1,256,64,1,0,1,1,,,,,,,
11,<class 'keras.layers.convolutional.Conv2D'>,,56,3,64,64,1,1,1,1,,,,,,,
12,<class 'keras.layers.convolutional.Conv2D'>,,56,1,64,256,1,0,1,1,,,,,,,
13,<class 'keras.layers.convolutional.Conv2D'>,,56,1,256,128,2,0,1,1,,,,,,,
14,<class 'keras.layers.convolutional.Conv2D'>,,28,3,128,128,1,1,1,1,,,,,,,
15,<class 'keras.layers.convolutional.Conv2D'>,,28,1,128,512,1,0,0,1,,,,,,,
16,<class 'keras.layers.convolutional.Conv2D'>,,56,1,256,512,2,0,1,1,,,,,,,
17,<class 'keras.layers.convolutional.Conv2D'>,,28,1,512,128,1,0,1,1,,,,,,,
18,<class 'keras.layers.convolutional.Conv2D'>,,28,3,128,128,1,1,1,1,,,,,,,
19,<class 'keras.layers.convolutional.Conv2D'>,,28,1,128,512,1,0,1,1,,,,,,,
20,<class 'keras.layers.convolutional.Conv2D'>,,28,1,512,128,1,0,1,1,,,,,,,
21,<class 'keras.layers.convolutional.Conv2D'>,,28,3,128,128,1,1,1,1,,,,,,,
22,<class 'keras.layers.convolutional.Conv2D'>,,28,1,128,512,1,0,1,1,,,,,,,
23,<class 'keras.layers.convolutional.Conv2D'>,,28,1,512,128,1,0,1,1,,,,,,,
24,<class 'keras.layers.convolutional.Conv2D'>,,28,3,128,128,1,1,1,1,,,,,,,
25,<class 'keras.layers.convolutional.Conv2D'>,,28,1,128,512,1,0,1,1,,,,,,,
26,<class 'keras.layers.convolutional.Conv2D'>,,28,1,512,256,2,0,1,1,,,,,,,
27,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
28,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,0,1,,,,,,,
29,<class 'keras.layers.convolutional.Conv2D'>,,28,1,512,1024,2,0,1,1,,,,,,,
30,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,256,1,0,1,1,,,,,,,
31,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
32,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,1,1,,,,,,,
33,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,256,1,0,1,1,,,,,,,
34,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
35,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,1,1,,,,,,,
36,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,256,1,0,1,1,,,,,,,
37,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
38,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,1,1,,,,,,,
39,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,256,1,0,1,1,,,,,,,
40,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
41,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,1,1,,,,,,,
42,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,256,1,0,1,1,,,,,,,
43,<class 'keras.layers.convolutional.Conv2D'>,,14,3,256,256,1,1,1,1,,,,,,,
44,<class 'keras.layers.convolutional.Conv2D'>,,14,1,256,1024,1,0,1,1,,,,,,,
45,<class 'keras.layers.convolutional.Conv2D'>,,14,1,1024,512,2,0,1,1,,,,,,,
