layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,conv1,<class 'keras.layers.convolutional.Conv2D'>,8,230,7,3,64,2,0,1,1,,,,,,,,,
2,max_pooling2d_1,<class 'keras.layers.pooling.MaxPooling2D'>,8,114,,64,,2,0,,,3,,,,,,,,
3,res2a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,64,64,1,0,1,1,,,,,,,,,
4,res2a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3,64,64,1,1,1,1,,,,,,,,,
5,res2a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,64,256,1,0,0,1,,,,,,,,,
6,res2a_branch1,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,64,256,1,0,1,1,,,,,,,,,
7,res2b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,256,64,1,0,1,1,,,,,,,,,
8,res2b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3,64,64,1,1,1,1,,,,,,,,,
9,res2b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,64,256,1,0,1,1,,,,,,,,,
10,res2c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,256,64,1,0,1,1,,,,,,,,,
11,res2c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,56,3,64,64,1,1,1,1,,,,,,,,,
12,res2c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,64,256,1,0,1,1,,,,,,,,,
13,res3a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,256,128,2,0,1,1,,,,,,,,,
14,res3a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,28,3,128,128,1,1,1,1,,,,,,,,,
15,res3a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,128,512,1,0,0,1,,,,,,,,,
16,res3a_branch1,<class 'keras.layers.convolutional.Conv2D'>,8,56,1,256,512,2,0,1,1,,,,,,,,,
17,res3b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,512,128,1,0,1,1,,,,,,,,,
18,res3b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,28,3,128,128,1,1,1,1,,,,,,,,,
19,res3b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,128,512,1,0,1,1,,,,,,,,,
20,res3c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,512,128,1,0,1,1,,,,,,,,,
21,res3c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,28,3,128,128,1,1,1,1,,,,,,,,,
22,res3c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,128,512,1,0,1,1,,,,,,,,,
23,res3d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,512,128,1,0,1,1,,,,,,,,,
24,res3d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,28,3,128,128,1,1,1,1,,,,,,,,,
25,res3d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,128,512,1,0,1,1,,,,,,,,,
26,res4a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,512,256,2,0,1,1,,,,,,,,,
27,res4a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
28,res4a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,0,1,,,,,,,,,
29,res4a_branch1,<class 'keras.layers.convolutional.Conv2D'>,8,28,1,512,1024,2,0,1,1,,,,,,,,,
30,res4b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,256,1,0,1,1,,,,,,,,,
31,res4b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
32,res4b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,1,1,,,,,,,,,
33,res4c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,256,1,0,1,1,,,,,,,,,
34,res4c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
35,res4c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,1,1,,,,,,,,,
36,res4d_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,256,1,0,1,1,,,,,,,,,
37,res4d_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
38,res4d_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,1,1,,,,,,,,,
39,res4e_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,256,1,0,1,1,,,,,,,,,
40,res4e_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
41,res4e_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,1,1,,,,,,,,,
42,res4f_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,256,1,0,1,1,,,,,,,,,
43,res4f_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,14,3,256,256,1,1,1,1,,,,,,,,,
44,res4f_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,256,1024,1,0,1,1,,,,,,,,,
45,res5a_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,512,2,0,1,1,,,,,,,,,
46,res5a_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,7,3,512,512,1,1,1,1,,,,,,,,,
47,res5a_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,7,1,512,2048,1,0,0,1,,,,,,,,,
48,res5a_branch1,<class 'keras.layers.convolutional.Conv2D'>,8,14,1,1024,2048,2,0,1,1,,,,,,,,,
49,res5b_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,7,1,2048,512,1,0,1,1,,,,,,,,,
50,res5b_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,7,3,512,512,1,1,1,1,,,,,,,,,
51,res5b_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,7,1,512,2048,1,0,1,1,,,,,,,,,
52,res5c_branch2a,<class 'keras.layers.convolutional.Conv2D'>,8,7,1,2048,512,1,0,1,1,,,,,,,,,
53,res5c_branch2b,<class 'keras.layers.convolutional.Conv2D'>,8,7,3,512,512,1,1,1,1,,,,,,,,,
54,res5c_branch2c,<class 'keras.layers.convolutional.Conv2D'>,8,7,1,512,2048,1,0,1,1,,,,,,,,,
55,avg_pool,<class 'keras.layers.pooling.GlobalAveragePooling2D'>,8,7,,2048,,1,0,,,7,,,,,,,,
56,fc1000,<class 'keras.layers.core.Dense'>,8,1,,2048,1000,,,1,,,,,,,,,,
