layer,name,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time_abse,pre_time_re,pre_time_rmse
1,block1_conv1,<class 'keras.layers.convolutional.Conv2D'>,4,224,3,3,64,1,1,0,1,,,,,,,,,
2,block1_conv2,<class 'keras.layers.convolutional.Conv2D'>,4,224,3,64,64,1,1,0,1,,,,,,,,,
3,block1_pool,<class 'keras.layers.pooling.MaxPooling2D'>,4,224,,64,,2,0,,,2,,,,,,,,
4,block2_conv1,<class 'keras.layers.convolutional.Conv2D'>,4,112,3,64,128,1,1,0,1,,,,,,,,,
5,block2_conv2,<class 'keras.layers.convolutional.Conv2D'>,4,112,3,128,128,1,1,0,1,,,,,,,,,
6,block2_pool,<class 'keras.layers.pooling.MaxPooling2D'>,4,112,,128,,2,0,,,2,,,,,,,,
7,block3_conv1,<class 'keras.layers.convolutional.Conv2D'>,4,56,3,128,256,1,1,0,1,,,,,,,,,
8,block3_conv2,<class 'keras.layers.convolutional.Conv2D'>,4,56,3,256,256,1,1,0,1,,,,,,,,,
9,block3_conv3,<class 'keras.layers.convolutional.Conv2D'>,4,56,3,256,256,1,1,0,1,,,,,,,,,
10,block3_pool,<class 'keras.layers.pooling.MaxPooling2D'>,4,56,,256,,2,0,,,2,,,,,,,,
11,block4_conv1,<class 'keras.layers.convolutional.Conv2D'>,4,28,3,256,512,1,1,0,1,,,,,,,,,
12,block4_conv2,<class 'keras.layers.convolutional.Conv2D'>,4,28,3,512,512,1,1,0,1,,,,,,,,,
13,block4_conv3,<class 'keras.layers.convolutional.Conv2D'>,4,28,3,512,512,1,1,0,1,,,,,,,,,
14,block4_pool,<class 'keras.layers.pooling.MaxPooling2D'>,4,28,,512,,2,0,,,2,,,,,,,,
15,block5_conv1,<class 'keras.layers.convolutional.Conv2D'>,4,14,3,512,512,1,1,0,1,,,,,,,,,
16,block5_conv2,<class 'keras.layers.convolutional.Conv2D'>,4,14,3,512,512,1,1,0,1,,,,,,,,,
17,block5_conv3,<class 'keras.layers.convolutional.Conv2D'>,4,14,3,512,512,1,1,0,1,,,,,,,,,
18,block5_pool,<class 'keras.layers.pooling.MaxPooling2D'>,4,14,,512,,2,0,,,2,,,,,,,,
19,fc1,<class 'keras.layers.core.Dense'>,4,1,,25088,4096,,,1,,,,,,,,,,
20,fc2,<class 'keras.layers.core.Dense'>,4,1,,4096,4096,,,1,,,,,,,,,,
21,predictions,<class 'keras.layers.core.Dense'>,4,1,,4096,1000,,,1,,,,,,,,,,
