layer,operation,batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,poolsize,time_max,time_min,time_median,time_mean,time_trim_mean,pre_time
1,conv,1.0,224,3.0,3,64.0,1.0,1.0,1.0,1.0,,4.71186637878418,2.1567344665527344,2.226710319519043,2.4944067001342773,2.2594332695007324,
2,conv,1.0,224,3.0,64,64.0,1.0,1.0,1.0,1.0,,12.10784912109375,10.519266128540039,10.599493980407715,10.816264152526855,10.691940784454346,
3,pool,1.0,224,,64,,2.0,1.0,,,2.0,1.8579959869384766,1.7952919006347656,1.8219947814941406,1.8220901489257812,1.8209517002105713,
4,conv,1.0,112,3.0,64,128.0,1.0,1.0,1.0,1.0,,5.83958625793457,5.008459091186523,5.086183547973633,5.173349380493164,5.110681056976318,
5,conv,1.0,112,3.0,128,128.0,1.0,1.0,1.0,1.0,,9.699344635009766,9.490966796875,9.611368179321289,9.612631797790527,9.617000818252563,
6,pool,1.0,112,,128,,2.0,1.0,,,2.0,0.7789134979248047,0.6895065307617188,0.7611513137817383,0.757598876953125,0.7634460926055908,
7,conv,1.0,56,3.0,128,256.0,1.0,1.0,1.0,1.0,,4.858732223510742,4.745721817016602,4.822134971618652,4.816174507141113,4.819661378860474,
8,conv,1.0,56,3.0,256,256.0,1.0,1.0,1.0,1.0,,9.256124496459961,9.11092758178711,9.190917015075684,9.192609786987305,9.194880723953247,
9,conv,1.0,56,3.0,256,256.0,1.0,1.0,1.0,1.0,,9.373903274536133,9.104490280151367,9.242534637451172,9.236979484558105,9.236425161361694,
10,pool,1.0,56,,256,,2.0,1.0,,,2.0,0.3936290740966797,0.3352165222167969,0.36704540252685547,0.36597251892089844,0.3663599491119385,
11,conv,1.0,28,3.0,256,512.0,1.0,1.0,1.0,1.0,,4.912376403808594,4.748821258544922,4.864931106567383,4.849147796630859,4.853785037994385,
12,conv,1.0,28,3.0,512,512.0,1.0,1.0,1.0,1.0,,9.285449981689453,9.034872055053711,9.218931198120117,9.201312065124512,9.211599826812744,
13,conv,1.0,28,3.0,512,512.0,1.0,1.0,1.0,1.0,,9.349584579467773,9.190082550048828,9.233355522155762,9.254980087280273,9.251266717910767,
14,pool,1.0,28,,512,,2.0,1.0,,,2.0,0.28014183044433594,0.19812583923339844,0.21755695343017578,0.2300262451171875,0.22774934768676758,
15,conv,1.0,14,3.0,512,512.0,1.0,1.0,1.0,1.0,,2.86102294921875,2.64739990234375,2.7496814727783203,2.7580976486206055,2.7590692043304443,
16,conv,1.0,14,3.0,512,512.0,1.0,1.0,1.0,1.0,,2.843618392944336,2.7077198028564453,2.7611255645751953,2.7731895446777344,2.7725696563720703,
17,conv,1.0,14,3.0,512,512.0,1.0,1.0,1.0,1.0,,2.8204917907714844,2.7031898498535156,2.746105194091797,2.7528762817382812,2.7506351470947266,
18,pool,1.0,14,,512,,2.0,1.0,,,2.0,0.14328956604003906,0.09632110595703125,0.14007091522216797,0.12526512145996094,0.12663006782531738,
19,fc,1.0,7,,512,4096.0,,,1.0,,,0.5037784576416016,0.45800209045410156,0.47457218170166016,0.47690868377685547,0.47591328620910645,
20,fc,1.0,1,,4096,4096.0,,,1.0,,,3.6706924438476562,3.5016536712646484,3.6029815673828125,3.5975217819213867,3.6003589630126953,
21,fc,1.0,1,,4096,1000.0,,,1.0,,,1.0411739349365234,1.0039806365966797,1.021742820739746,1.0231256484985352,1.0232627391815186,
